method,run_id,seed,epoch,candidate_evaluations,batch_size,n_cpus,epoch_best_loss,epoch_median_loss,saved_best_loss,success,stop_reason,elapsed_seconds
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed124,124,1,100,100,16,124.62594864682649,130.43444950695644,124.62594864682649,False,max_epochs,7.045876741409302
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed124,124,2,200,100,16,123.80803642053758,130.76080950037482,123.80803642053758,False,max_epochs,10.23555874824524
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed124,124,3,300,100,16,123.75501350302848,130.95496107492113,123.75501350302848,False,max_epochs,14.9246985912323
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed124,124,4,400,100,16,123.60485238513499,130.88017409834916,123.60485238513499,False,max_epochs,19.54718804359436
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed124,124,5,500,100,16,123.93772317042311,129.96754498382157,123.60485238513499,False,max_epochs,24.304246425628662
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed124,124,6,600,100,16,124.07905418250914,129.91928794370216,123.60485238513499,False,max_epochs,28.90145754814148
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed124,124,7,700,100,16,124.14083631833547,130.76075540444828,123.60485238513499,False,max_epochs,32.14589214324951
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed124,124,8,800,100,16,124.40750519157669,131.2680075250858,123.60485238513499,False,max_epochs,35.65024161338806
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed124,124,9,900,100,16,124.96493692370227,130.01524747733055,123.60485238513499,False,max_epochs,40.76609969139099
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed124,124,10,1000,100,16,124.49792950424263,130.12372872652554,123.60485238513499,False,max_epochs,46.761404514312744
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed124,124,11,1100,100,16,124.10024797147254,130.46036238909784,123.60485238513499,False,max_epochs,52.99634075164795
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed124,124,12,1200,100,16,124.12675378680066,131.1261382063457,123.60485238513499,False,max_epochs,57.90980339050293
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed124,124,13,1300,100,16,124.23216382144138,130.25365121411534,123.60485238513499,False,max_epochs,62.52560782432556
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed124,124,14,1400,100,16,123.92120750945382,130.23848024181103,123.60485238513499,False,max_epochs,67.09769177436829
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed124,124,15,1500,100,16,124.61838727116049,129.93121382831976,123.60485238513499,False,max_epochs,71.47124290466309
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed124,124,16,1600,100,16,123.52380261919592,131.4105067750229,123.52380261919592,False,max_epochs,73.65780901908875
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed124,124,17,1700,100,16,123.74499780871405,129.85463720591744,123.52380261919592,False,max_epochs,78.75120806694031
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed124,124,18,1800,100,16,122.92959072485795,130.69927541288067,122.92959072485795,False,max_epochs,83.64952564239502
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed124,124,19,1900,100,16,123.73141824702245,129.88704711715107,122.92959072485795,False,max_epochs,88.84569454193115
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed124,124,20,2000,100,16,123.38921066124334,128.42761603749216,122.92959072485795,False,max_epochs,93.66680693626404
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed124,124,21,2100,100,16,122.75735767864465,129.41081822249146,122.75735767864465,False,max_epochs,99.20665884017944
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed124,124,22,2200,100,16,123.23241761739455,128.51091260407708,122.75735767864465,False,max_epochs,103.9716591835022
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed124,124,23,2300,100,16,123.26875620792028,128.35468969730266,122.75735767864465,False,max_epochs,108.99891686439514
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed124,124,24,2400,100,16,123.10987326463085,128.1275543001097,122.75735767864465,False,max_epochs,113.86952185630798
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed124,124,25,2500,100,16,122.05058765658976,127.18448188734251,122.05058765658976,False,max_epochs,118.69529914855957
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed124,124,26,2600,100,16,122.06021371191724,126.1119667639351,122.05058765658976,False,max_epochs,121.69276976585388
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed124,124,27,2700,100,16,123.70628595480164,127.0539569902181,122.05058765658976,False,max_epochs,125.80615425109863
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed124,124,28,2800,100,16,121.78354127473759,126.28823714197695,121.78354127473759,False,max_epochs,131.4784517288208
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed124,124,29,2900,100,16,122.16781277600401,125.98370792162544,121.78354127473759,False,max_epochs,136.0642590522766
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed124,124,30,3000,100,16,122.450560881366,126.35348270794138,121.78354127473759,False,max_epochs,140.90595984458923
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed124,124,31,3100,100,16,121.99241873726882,125.4441866687717,121.78354127473759,False,max_epochs,145.4608075618744
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to095_lr1e4_entropy01to005_s1_c1_rnetol_d256_depth3_p20,seed124,124,32,3200,100,16,122.11880903970983,126.00337303694894,121.78354127473759,False,max_epochs,149.8459610939026
