step,value
0,75.3887939453125
1,75.51972961425781
2,75.58873748779297
3,75.71466064453125
4,75.83147430419922
5,75.899169921875
6,75.8214111328125
7,75.88945770263672
8,75.85369110107422
9,75.8262939453125
10,75.76909637451172
11,75.68927001953125
12,75.56757354736328
13,75.3730697631836
14,74.98776245117188
15,74.28968811035156
16,73.12518310546875
17,71.48506164550781
18,69.6759033203125
19,67.7491683959961
20,65.88045501708984
21,63.914161682128906
22,61.74616241455078
23,59.3249626159668
24,56.70078659057617
25,54.10824203491211
26,51.85577392578125
27,49.96662521362305
28,48.14386749267578
29,46.68893432617188
30,45.46078109741211
31,43.94709014892578
32,42.93688583374024
33,41.9725227355957
34,40.93435287475586
35,40.03899002075195
36,39.70942687988281
37,39.406471252441406
38,39.23003768920898
39,39.274051666259766
40,39.10845565795898
41,39.18584060668945
42,39.2966194152832
43,39.27730941772461
44,38.9362907409668
45,38.59729766845703
46,38.07448959350586
47,37.60318374633789
48,37.06255340576172
49,37.47264099121094
50,37.909759521484375
51,38.04135894775391
52,37.86430740356445
53,36.8254508972168
54,35.81513977050781
55,34.54710388183594
56,34.53347396850586
57,34.56612014770508
58,33.8890380859375
59,33.32761001586914
60,32.714454650878906
61,31.86893081665039
62,31.46087074279785
63,31.38415908813477
64,32.471160888671875
65,33.15694808959961
66,33.56203842163086
67,33.66716003417969
68,33.06991195678711
69,32.5087776184082
70,32.20430374145508
71,32.28117752075195
72,32.39145278930664
73,32.62495803833008
74,32.73310852050781
75,33.03679656982422
76,33.12517166137695
77,32.874725341796875
78,32.752410888671875
79,32.4681510925293
80,32.39597702026367
81,32.48623275756836
82,32.64093017578125
83,32.98796463012695
84,33.56855010986328
85,33.96158981323242
86,34.3087043762207
87,34.46676254272461
88,34.78554153442383
89,34.70342254638672
90,34.73073959350586
91,34.78957748413086
92,34.688560485839844
93,34.461212158203125
94,34.08530044555664
95,33.5584602355957
96,33.19466781616211
97,33.030357360839844
98,32.8725700378418
99,32.50423049926758
100,31.966161727905277
101,31.365514755249023
102,31.55307006835937
103,32.01856231689453
104,32.165809631347656
105,32.95219039916992
106,33.83051681518555
107,34.35338592529297
108,34.962364196777344
109,35.2191047668457
110,34.975337982177734
111,34.65696334838867
112,34.5918083190918
113,34.1300048828125
114,34.2123908996582
115,33.88554763793945
116,33.4232063293457
117,32.59116744995117
118,31.40031242370605
119,30.029815673828125
120,30.06011962890625
121,30.592382431030277
122,31.58856010437012
123,32.50025177001953
124,34.28556442260742
125,35.96242904663086
126,35.84699249267578
127,35.433135986328125
128,34.23395538330078
129,33.36993408203125
130,33.45270919799805
131,33.63480758666992
132,33.7761344909668
133,33.17010498046875
134,32.55894088745117
135,32.072872161865234
136,31.54268264770508
137,32.3897705078125
138,33.20981216430664
139,33.690731048583984
140,33.825069427490234
141,34.05868148803711
142,33.84040832519531
143,33.66518783569336
144,33.551387786865234
145,34.52177810668945
146,35.54261016845703
147,36.09341049194336
148,36.206844329833984
149,35.67437744140625
150,34.700252532958984
151,33.71236038208008
152,34.12791061401367
153,35.89749526977539
154,41.099700927734375
155,44.48228073120117
156,36.11808395385742
