step,value
0,6.72909688949585
1,6.92879056930542
2,7.13055419921875
3,7.322305202484131
4,7.55402135848999
5,7.770697116851807
6,7.920190334320068
7,7.584542751312256
8,7.933896541595459
9,8.0955228805542
10,8.064017295837402
11,8.00709056854248
12,7.984745025634766
13,7.97344970703125
14,7.958816528320312
15,7.930637359619141
16,7.8931884765625
17,7.840284824371338
18,7.764617443084717
19,7.6547465324401855
20,7.545668125152588
21,7.423408508300781
22,7.2927165031433105
23,7.1579270362854
24,7.043335914611816
25,6.917909145355225
26,6.824151515960693
27,6.752331733703613
28,6.691184997558594
29,6.637373447418213
30,6.603431701660156
31,6.593804836273193
32,6.584908962249756
33,6.582830905914307
34,6.600990295410156
35,6.655282020568848
36,6.704532623291016
37,6.726990699768066
38,6.705317974090576
39,6.629693508148193
40,6.483757019042969
41,6.376707077026367
42,6.317051410675049
43,6.179169654846191
44,6.026320934295654
45,5.877422332763672
46,5.755443572998047
47,5.666107177734375
48,5.605810642242432
49,5.57520055770874
50,5.53657865524292
51,5.490876197814941
52,5.472559452056885
53,5.571470260620117
54,5.688543796539307
55,5.819988250732422
56,5.927303314208984
57,6.043630123138428
58,6.148183345794678
59,6.208442211151123
60,6.275967597961426
61,6.34893274307251
62,6.416479587554932
63,6.473733425140381
64,6.518148899078369
65,6.561435699462891
66,6.5922393798828125
67,6.620635986328125
68,6.605110168457031
69,6.560743808746338
70,6.519927501678467
71,6.498542785644531
72,6.502433776855469
73,6.520329475402832
74,6.550222873687744
75,6.580843448638916
76,6.582036018371582
77,6.580715179443359
78,6.610531806945801
79,6.6232757568359375
80,6.674231052398682
81,6.719027996063232
82,6.732676029205322
83,6.734078407287598
84,6.75543737411499
85,6.756104946136475
86,6.782565593719482
87,6.831112861633301
88,6.865278720855713
89,6.9373698234558105
90,7.035712718963623
91,7.126895427703857
92,7.255064487457275
93,7.404000759124756
94,7.572896003723144
95,7.758090496063232
96,7.921906471252441
97,8.048998832702637
98,8.160101890563965
99,8.289036750793457
100,8.379127502441406
101,8.47797679901123
102,8.598617553710938
103,8.734845161437988
104,8.90925121307373
105,9.106592178344728
106,9.271872520446776
107,9.389248847961426
108,9.433566093444824
109,9.39074420928955
110,9.346376419067385
111,9.2695894241333
112,9.256425857543944
113,9.23779010772705
114,9.22639274597168
115,9.248295783996582
116,9.288188934326172
117,9.416831970214844
118,9.5700101852417
119,9.7138671875
120,9.83203125
121,9.99130153656006
122,10.046302795410156
123,10.101107597351074
124,10.202322959899902
125,10.313583374023438
126,10.30750560760498
127,10.13059139251709
128,10.028215408325195
129,10.397961616516112
130,10.743435859680176
131,10.866164207458496
132,11.10240650177002
133,11.331921577453612
134,11.289011001586914
135,10.992518424987791
136,10.810140609741213
137,10.627986907958984
138,10.389046669006348
139,10.257452964782717
140,10.326211929321287
141,10.679484367370604
142,11.137279510498049
143,11.57888412475586
144,11.71909236907959
145,11.169466972351074
146,10.72222137451172
147,10.544832229614258
148,10.525866508483888
149,10.770462036132812
150,10.925496101379396
151,11.172987937927246
152,11.33606243133545
153,11.26077365875244
154,10.64060878753662
155,9.956280708312988
156,9.83210277557373
157,10.289289474487305
158,10.375526428222656
159,9.633212089538574
160,9.070088386535645
161,8.726941108703613
162,8.777353286743164
163,9.225787162780762
164,8.868974685668945
165,8.14815616607666
166,8.302327156066895
167,8.844080924987793
168,9.216647148132324
169,9.420706748962402
170,9.222441673278809
171,8.868026733398438
172,8.68409252166748
173,8.820696830749512
174,9.34251308441162
175,9.268834114074709
176,8.914454460144043
