step,value
0,39.27398300170898
1,39.473609924316406
2,39.6751594543457
3,39.85863494873047
4,40.080074310302734
5,40.2842903137207
6,40.41228866577149
7,40.04906845092773
8,40.41954803466797
9,40.60017776489258
10,40.57342529296875
11,40.50386428833008
12,40.46168899536133
13,40.39373016357422
14,40.268836975097656
15,40.01240921020508
16,39.54575729370117
17,38.80968475341797
18,37.84529876708984
19,36.71265411376953
20,35.519832611083984
21,34.296112060546875
22,33.06397247314453
23,31.898069381713867
24,30.735858917236328
25,29.5105037689209
26,28.459009170532227
27,27.351221084594727
28,26.337024688720703
29,25.44853782653809
30,24.74860191345215
31,24.178823471069336
32,23.62983512878418
33,23.190683364868164
34,22.958871841430664
35,22.693544387817383
36,22.47174453735352
37,22.2674617767334
38,22.060413360595703
39,21.957761764526367
40,21.79475212097168
41,21.73555564880371
42,21.73080825805664
43,21.74712562561035
44,21.77179527282715
45,21.80586242675781
46,21.647485733032227
47,21.35404396057129
48,21.146026611328125
49,20.87088966369629
50,20.629133224487305
51,20.369911193847656
52,19.99527359008789
53,19.66899681091309
54,19.348669052124023
55,19.073001861572266
56,18.846115112304688
57,18.681854248046875
58,18.6096305847168
59,18.581892013549805
60,18.5966854095459
61,18.60284996032715
62,18.581750869750977
63,18.53664970397949
64,18.542667388916016
65,18.599851608276367
66,18.59477806091309
67,18.62852478027344
68,18.676618576049805
69,18.752628326416016
70,18.850101470947266
71,18.93903160095215
72,19.056934356689453
73,19.128042221069336
74,19.142032623291016
75,19.239765167236328
76,19.315509796142575
77,19.33705139160156
78,19.310482025146484
79,19.190673828125
80,19.06510734558105
81,18.972469329833984
82,18.84769630432129
83,18.8187255859375
84,18.75704765319824
85,18.73698234558105
86,18.7587833404541
87,18.833845138549805
88,18.80754852294922
89,18.84225273132324
90,18.867563247680664
91,18.70699119567871
92,18.50314712524414
93,18.36695671081543
94,18.292219161987305
95,18.273399353027344
96,18.277456283569336
97,18.364511489868164
98,18.31005096435547
99,18.36887550354004
100,18.3610954284668
101,18.376371383666992
102,18.29373550415039
103,18.11907958984375
104,18.02919578552246
105,17.860641479492188
106,17.721139907836914
107,17.54084587097168
108,17.35530662536621
109,17.251617431640625
110,17.11235809326172
111,16.910888671875
112,16.73748779296875
113,16.6876163482666
114,16.692590713500977
115,16.69618034362793
116,16.78183937072754
117,16.799192428588867
118,16.674680709838867
119,16.6481990814209
120,16.523534774780273
121,16.419010162353516
122,16.294193267822266
123,16.2839412689209
124,16.196704864501953
125,16.179855346679688
126,16.19123649597168
127,16.15749168395996
128,16.17366600036621
129,16.1558780670166
130,16.125015258789062
131,16.048452377319336
132,15.97667121887207
133,15.856432914733888
134,15.840153694152832
135,15.812216758728027
136,15.708505630493164
137,15.566967964172363
138,15.433679580688477
139,15.274887084960938
140,15.134596824645996
141,14.965975761413574
142,14.890007019042969
143,14.763490676879885
144,14.705896377563477
145,14.6680326461792
146,14.64762020111084
147,14.577353477478027
148,14.5515718460083
149,14.47263240814209
150,14.4203462600708
151,14.43456745147705
152,14.319079399108888
153,14.313653945922852
154,14.403343200683594
155,14.605793952941896
156,14.761880874633787
157,14.995471000671388
158,15.16158962249756
159,15.30880641937256
160,15.513757705688477
161,15.653106689453123
162,15.8037691116333
163,15.870200157165527
164,15.949992179870604
165,15.954115867614746
166,15.955894470214844
167,15.930551528930664
168,15.9396390914917
169,15.96709156036377
170,15.98898983001709
171,16.066390991210938
172,16.054656982421875
173,16.09370994567871
174,16.0386905670166
175,16.099241256713867
176,16.049896240234375
177,15.956068992614746
178,15.83957576751709
179,15.78484058380127
180,15.649423599243164
181,15.564056396484377
182,15.464892387390137
183,15.273905754089355
184,15.136041641235352
185,14.992523193359377
186,14.90329647064209
187,14.820442199707031
188,14.767648696899414
189,14.756064414978027
190,14.773483276367188
191,14.724385261535645
192,14.775398254394531
193,14.90980052947998
194,15.03745460510254
195,15.13061237335205
196,15.254401206970217
197,15.30674171447754
198,15.32858943939209
199,15.375521659851074
200,15.40921688079834
201,15.474493980407717
202,15.548446655273438
203,15.604782104492188
204,15.63343334197998
205,15.612277030944824
206,15.576449394226074
207,15.597491264343262
208,15.576263427734377
209,15.59556007385254
210,15.683016777038574
211,15.687662124633787
212,15.691067695617676
213,15.67272663116455
214,15.703401565551758
215,15.747428894042969
216,15.728442192077637
217,15.710883140563965
218,15.748244285583496
219,15.762249946594238
220,15.80212116241455
221,15.783329963684082
222,15.777470588684082
223,15.692015647888184
224,15.636186599731444
225,15.661486625671388
226,15.67406940460205
227,15.666834831237791
228,15.726035118103027
229,15.765411376953123
230,15.789267539978027
231,15.78171443939209
232,15.858565330505373
233,15.860211372375488
234,15.93115520477295
235,15.956384658813477
236,16.032758712768555
237,16.035337448120117
238,16.061864852905273
239,16.055072784423828
240,16.089223861694336
241,16.109867095947266
242,16.074155807495117
243,15.982025146484377
244,15.876111030578612
245,15.785834312438965
246,15.728311538696287
247,15.717028617858888
248,15.742709159851074
249,15.82359790802002
250,15.847792625427246
251,15.927693367004396
252,15.87485408782959
253,15.867056846618652
254,15.709805488586426
255,15.559714317321776
256,15.375391960144045
257,15.192720413208008
258,14.9589204788208
259,14.700340270996094
260,14.54656982421875
261,14.425384521484377
262,14.272933959960938
263,14.151576042175291
264,14.133699417114258
265,14.158859252929688
266,14.089726448059082
267,14.075050354003906
268,14.20249843597412
269,14.2642822265625
270,14.335299491882324
271,14.417513847351074
272,14.477182388305664
273,14.495559692382812
274,14.5043306350708
275,14.690770149230955
276,14.850488662719728
277,15.038897514343262
278,15.209222793579102
279,15.336661338806152
280,15.448458671569824
281,15.618555068969728
282,15.763946533203123
283,15.915183067321776
284,16.10411834716797
285,16.280948638916016
286,16.420597076416016
287,16.52553939819336
288,16.531463623046875
289,16.473369598388672
290,16.429035186767578
291,16.31890106201172
292,16.31831169128418
293,16.26808738708496
294,16.198270797729492
295,16.111257553100586
296,16.04212760925293
297,16.01068115234375
298,15.967498779296877
299,15.959219932556152
300,15.912248611450195
301,15.768991470336914
302,15.625576972961426
303,15.535247802734377
304,15.452641487121582
305,15.339083671569824
306,15.245986938476562
307,15.215376853942873
308,15.171035766601562
309,15.1962890625
310,15.268304824829102
311,15.311044692993164
312,15.389291763305664
313,15.503747940063477
314,15.565814018249512
315,15.583426475524902
316,15.5824556350708
317,15.5770845413208
318,15.570332527160645
319,15.461249351501465
320,15.334586143493652
321,15.103617668151855
322,14.985568046569824
323,14.967381477355955
324,15.091814994812012
325,15.20263385772705
326,15.373870849609377
327,15.573287963867188
328,15.6558837890625
329,15.765156745910645
330,15.838528633117676
331,15.899301528930664
332,16.002117156982422
333,15.980093955993652
334,15.857711791992188
335,15.84716510772705
336,15.945691108703612
337,16.029024124145508
338,16.126779556274414
339,16.252155303955078
340,16.30708885192871
341,16.329910278320312
342,16.44799041748047
343,16.4775333404541
344,16.584558486938477
345,16.680644989013672
346,16.64617347717285
347,16.7653751373291
348,16.880701065063477
349,16.864639282226562
350,16.8813533782959
351,16.846500396728516
352,16.732297897338867
353,16.57528305053711
354,16.592700958251953
355,16.73627281188965
356,16.91102409362793
357,17.071609497070312
358,17.001007080078125
359,16.851388931274414
360,16.51020050048828
361,16.31373405456543
362,16.157569885253906
363,16.126310348510742
364,16.22983741760254
365,16.12508201599121
366,16.009857177734375
367,16.149078369140625
368,15.955551147460938
369,15.882057189941406
370,16.138669967651367
371,16.450763702392578
372,16.696155548095703
373,16.717432022094727
374,16.731657028198242
375,16.744123458862305
376,16.805587768554688
377,16.685836791992188
378,16.52686309814453
379,16.366899490356445
380,16.196533203125
381,16.40452003479004
382,16.409719467163086
383,16.088687896728516
384,16.169702529907227
385,16.92359733581543
386,16.749614715576172
387,16.86121940612793
388,18.3925838470459
389,18.085224151611328
390,15.655753135681152
391,13.2796630859375
392,15.897747993469238
393,19.39617729187012
394,21.89787101745605
395,20.64381599426269
396,17.842477798461914
397,18.33497428894043
398,18.96673393249512
399,18.040910720825195
