step,value
0,6.72909688949585
1,6.92879056930542
2,7.13055419921875
3,7.322305202484131
4,7.554020881652832
5,7.770082950592041
6,7.919743537902832
7,7.575095653533935
8,7.922333717346191
9,8.084689140319824
10,8.054889678955078
11,8.00024700164795
12,7.978501319885254
13,7.964413642883301
14,7.944616794586182
15,7.910518169403076
16,7.869381904602051
17,7.808812141418457
18,7.726463317871094
19,7.608129978179932
20,7.49359130859375
21,7.362207889556885
22,7.2330641746521
23,7.104419231414795
24,7.003271579742432
25,6.8848557472229
26,6.791149139404297
27,6.713212013244629
28,6.643418312072754
29,6.589055061340332
30,6.533145427703857
31,6.512654781341553
32,6.485135078430176
33,6.482249736785889
34,6.47565221786499
35,6.493026256561279
36,6.516760349273682
37,6.544940948486328
38,6.5965728759765625
39,6.677999973297119
40,6.796669006347656
41,6.961357116699219
42,7.055360317230225
43,7.136693477630615
44,7.084443092346191
45,6.972622871398926
46,6.861152648925781
47,6.743198394775391
48,6.626441955566406
49,6.537010192871094
50,6.438992500305176
51,6.358631134033203
52,6.293243408203125
53,6.2096452713012695
54,6.142248630523682
55,6.077558517456055
56,6.051856994628906
57,6.043837547302246
58,6.065846920013428
59,6.10249137878418
60,6.134124755859375
61,6.181519985198975
62,6.240663528442383
63,6.31202507019043
64,6.418087959289551
65,6.528972148895264
66,6.619946479797363
67,6.699923992156982
68,6.755037784576416
69,6.828493595123291
70,6.939573764801025
71,7.059718608856201
72,7.1419525146484375
73,7.176570415496826
74,7.189080715179443
75,7.221805095672607
76,7.240725040435791
77,7.306697368621826
78,7.3879241943359375
79,7.472099304199219
80,7.520482063293457
81,7.557163238525391
82,7.572299957275391
83,7.544247627258301
84,7.459122657775879
85,7.360280036926269
86,7.267005920410156
87,7.228247165679932
88,7.242070198059082
89,7.290709018707275
90,7.35335111618042
91,7.38986349105835
92,7.4255595207214355
93,7.371400356292725
94,7.421433925628662
95,7.45680570602417
96,7.522007942199707
97,7.577952861785889
98,7.614718914031982
99,7.671269416809082
100,7.707448005676269
101,7.772171020507812
102,7.854896545410156
103,7.972905158996582
104,8.081084251403809
105,8.118667602539062
106,8.142500877380371
107,8.1177978515625
108,8.090266227722168
109,8.254894256591797
110,8.45643424987793
111,8.710370063781738
112,9.032373428344728
113,9.368298530578612
114,9.691449165344238
115,9.83061695098877
116,9.812945365905762
117,9.644644737243652
118,9.451687812805176
119,9.160828590393066
120,9.047319412231444
121,8.988570213317871
122,9.093398094177246
123,9.364026069641112
124,9.594143867492676
125,9.740729331970217
126,9.852492332458496
127,9.328130722045898
128,8.984160423278809
129,8.627140998840332
130,8.470252990722656
131,8.292370796203613
132,8.344367027282715
133,8.424941062927246
134,8.712419509887695
135,9.029017448425291
136,9.447463035583496
137,9.703022003173828
138,10.221888542175291
139,10.59437656402588
140,11.075742721557615
141,11.367634773254396
142,11.608809471130373
143,12.223265647888184
144,13.10202693939209
145,13.55472469329834
146,13.74216365814209
147,13.737347602844238
148,13.570279121398926
149,13.55958080291748
150,13.556657791137695
151,13.448521614074709
152,13.129279136657717
153,12.945764541625977
154,12.808517456054688
155,12.695630073547363
156,12.628936767578123
157,12.59930419921875
158,12.645666122436523
159,12.706598281860352
160,12.80828857421875
161,13.01541805267334
162,13.043098449707031
163,13.235114097595217
164,13.600445747375488
165,13.962742805480955
166,14.251021385192873
167,14.509650230407717
168,14.734338760375977
169,14.980257987976074
170,15.243796348571776
171,15.503514289855955
172,15.74261474609375
173,15.88469696044922
174,15.94860553741455
175,15.986865043640137
