seed,run_id,success,best_loss,stop_reason,elapsed_seconds,success_count_so_far,finished_count_so_far
17,seed017,True,14.03801968344522,success,1076.3375861644745,1,1
14,seed014,True,13.751165216342828,success,1105.5189344882965,2,2
13,seed013,True,14.556121782785667,success,1229.781851530075,3,3
3,seed003,True,18.290157635740833,success,1452.5749118328094,4,4
0,seed000,True,4.413352438533215,success,2053.4673013687134,5,5
4,seed004,True,15.792767469071753,success,2201.582766532898,6,6
22,seed022,True,19.663129950878947,success,1691.2059814929962,7,7
11,seed011,True,19.854646256487896,success,2974.3100650310516,8,8
10,seed010,False,105.58835775210615,max_epochs,3729.249796152115,8,9
5,seed005,False,108.41080355429115,max_epochs,3765.5279376506805,8,10
2,seed002,False,110.8298274491661,max_epochs,3784.5001516342163,8,11
9,seed009,False,84.45781228816452,max_epochs,3799.9552834033966,8,12
12,seed012,False,109.13237896564308,max_epochs,3799.5675761699677,8,13
8,seed008,False,110.87623104254348,max_epochs,3809.65740776062,8,14
6,seed006,False,104.21338023509364,max_epochs,3818.393379688263,8,15
7,seed007,False,44.4861777527187,max_epochs,3818.951678752899,8,16
16,seed016,False,76.89431535743701,max_epochs,3815.1105077266693,8,17
15,seed015,False,110.77230625217625,max_epochs,3822.0462431907654,8,18
1,seed001,False,110.87554106450256,max_epochs,3831.1693313121796,8,19
18,seed018,False,110.77817946462059,max_epochs,3830.972901582718,8,20
19,seed019,False,110.78093360704497,max_epochs,3832.2619683742523,8,21
20,seed020,True,15.140541078483139,success,2798.3694384098053,9,22
35,seed035,True,17.072441287560686,success,762.4572191238403,10,23
37,seed037,True,15.352320644184719,success,883.8106155395508,11,24
34,seed034,True,17.401820902096507,success,899.4376244544983,12,25
24,seed024,True,19.35762859678083,success,2773.0734508037567,13,26
21,seed021,False,66.59269204561933,max_epochs,3820.7614319324493,13,27
23,seed023,False,33.68402640998118,max_epochs,3749.9226870536804,13,28
42,seed042,True,13.018393082149753,success,635.1363182067871,14,29
30,seed030,True,10.95318624620611,success,1445.3046758174896,15,30
26,seed026,True,16.40717593521643,success,2443.848694562912,16,31
38,seed038,True,18.636240707319473,success,2039.8833816051483,17,32
25,seed025,False,100.67720943194865,max_epochs,3720.1795756816864,17,33
29,seed029,True,19.254717570659132,success,2195.245069503784,18,34
28,seed028,True,19.765692469003753,success,2240.7445573806763,19,35
50,seed050,True,11.970934971479636,success,792.4344160556793,20,36
45,seed045,True,18.188691560844816,success,1432.5347294807434,21,37
27,seed027,False,100.15269547730124,max_epochs,3671.750829219818,21,38
54,seed054,True,13.431077487602716,success,848.0096337795258,22,39
33,seed033,True,18.48999576678112,success,3239.584497451782,23,40
43,seed043,True,19.68144833751777,success,2390.089663028717,24,41
47,seed047,True,18.36077412935442,success,1909.0200595855713,25,42
56,seed056,True,17.173209524760146,success,902.8406901359558,26,43
32,seed032,False,95.8025086297399,max_epochs,3562.5239481925964,26,44
31,seed031,False,100.40382945194236,max_epochs,3577.9913794994354,26,45
36,seed036,False,39.19428465053446,max_epochs,3577.848269701004,26,46
39,seed039,False,110.88421249636671,max_epochs,3576.466820716858,26,47
41,seed041,False,69.2768850300485,max_epochs,3597.949856042862,26,48
40,seed040,False,32.873637593141076,max_epochs,3708.211694717407,26,49
60,seed060,True,11.93486246111047,success,735.6780443191528,27,50
63,seed063,True,11.444898847374478,success,704.9322130680084,28,51
51,seed051,True,19.844991790167022,success,2221.939524412155,29,52
44,seed044,False,100.53239618799034,max_epochs,3581.8802559375763,29,53
55,seed055,True,16.477357336478274,success,2365.1172988414764,30,54
46,seed046,False,105.33863315436197,max_epochs,3656.8157415390015,30,55
48,seed048,False,107.78625101385214,max_epochs,3534.3740532398224,30,56
49,seed049,False,110.84222380560769,max_epochs,3682.7695553302765,30,57
71,seed071,True,15.261307110194029,success,906.7793743610382,31,58
57,seed057,True,14.642067565848148,success,2510.4064581394196,32,59
62,seed062,True,18.885772278570492,success,2153.225616455078,33,60
73,seed073,True,12.512011085545712,success,837.2466151714325,34,61
69,seed069,True,7.911126571250549,success,1628.9489035606384,35,62
52,seed052,False,100.16132804218874,max_epochs,3601.120819568634,35,63
53,seed053,False,107.55180029495652,max_epochs,3600.128984928131,35,64
66,seed066,True,19.851635406148322,success,2747.777240037918,36,65
82,seed082,True,15.772735734910132,success,742.4721066951752,37,66
58,seed058,False,110.8823030401346,max_epochs,3592.3416969776154,37,67
83,seed083,True,17.846604154042126,success,1010.4732615947723,38,68
59,seed059,False,79.28520657888754,max_epochs,3605.5119211673737,38,69
80,seed080,True,15.478529830147817,success,1283.1257696151733,39,70
61,seed061,False,110.78087984199017,max_epochs,3661.593145608902,39,71
67,seed067,True,18.366770932229155,success,3371.346122741699,40,72
