seed,run_id,success,best_loss,stop_reason,elapsed_seconds,success_count_so_far,finished_count_so_far
7,seed007,True,18.926331295204747,success,1393.6984703540802,1,1
19,seed019,True,11.877702110609127,success,1571.7522127628326,2,2
8,seed008,True,16.352948207939384,success,1827.5612711906433,3,3
15,seed015,True,12.544681871034367,success,1835.2280449867249,4,4
5,seed005,True,19.830519662370705,success,2705.950015068054,5,5
10,seed010,True,9.844267403786832,success,3402.3094108104706,6,6
18,seed018,True,9.243417272731234,success,3674.6897311210632,7,7
25,seed025,True,16.90268944549483,success,1176.826444864273,8,8
6,seed006,True,18.00027922251714,success,4648.260093927383,9,9
2,seed002,True,19.596176742222013,success,4779.3540625572205,10,10
26,seed026,True,19.391154087236337,success,2021.6741347312927,11,11
24,seed024,True,13.963917767217845,success,3279.572477579117,12,12
21,seed021,True,12.839236764212194,success,4529.750417232513,13,13
4,seed004,False,105.08260793898853,max_epochs,6709.845990180969,13,14
13,seed013,False,32.91189112569199,max_epochs,6708.764919519424,13,15
1,seed001,False,110.8193280901932,max_epochs,6715.450539588928,13,16
16,seed016,False,104.99673794299449,max_epochs,6718.164190292358,13,17
12,seed012,False,110.64969498134154,max_epochs,6727.945410728455,13,18
0,seed000,False,110.82858829665068,max_epochs,6790.529700517654,13,19
17,seed017,False,105.87035023892355,max_epochs,6798.549321889877,13,20
9,seed009,False,69.17190142602261,max_epochs,6834.60661315918,13,21
11,seed011,False,66.93948239738602,max_epochs,6927.06204867363,13,22
3,seed003,False,23.517702204119587,max_epochs,7320.481619119644,13,23
30,seed030,True,19.63439679592167,success,1604.6933872699738,14,24
14,seed014,False,21.599580248956286,max_epochs,7422.7131242752075,14,25
27,seed027,True,12.968932892682949,success,2994.1344561576843,15,26
37,seed037,True,19.191648766139934,success,1180.556188583374,16,27
39,seed039,True,19.42430664934558,success,1185.7816941738129,17,28
20,seed020,False,110.54751723642221,max_epochs,6768.305720329285,17,29
35,seed035,True,9.145097852405334,success,1456.9192130565643,18,30
29,seed029,True,17.544443538662925,success,3665.581384897232,19,31
23,seed023,False,108.74726877742143,max_epochs,6719.542896986008,19,32
42,seed042,True,4.239059290816615,success,1421.8478016853333,20,33
22,seed022,False,108.56737514697403,max_epochs,6944.0174515247345,20,34
45,seed045,True,18.524937083314363,success,1215.791838645935,21,35
53,seed053,True,10.105265400957633,success,1126.310467004776,22,36
50,seed050,True,16.515356782846407,success,1470.2784445285797,23,37
41,seed041,True,18.82730974025196,success,3263.3383729457855,24,38
33,seed033,True,19.517485227583613,success,3916.3749005794525,25,39
43,seed043,True,16.385733156404463,success,4494.492569923401,26,40
28,seed028,False,20.563293935274245,max_epochs,7283.913868188858,26,41
47,seed047,True,19.011499999762343,success,4134.1882293224335,27,42
36,seed036,True,17.572575308207934,success,5932.143273353577,28,43
31,seed031,False,109.68091621908619,max_epochs,6675.874241352081,28,44
32,seed032,False,110.73371153824573,max_epochs,6756.426145792007,28,45
34,seed034,False,100.7878557858569,max_epochs,6718.706081628799,28,46
38,seed038,False,75.59231724640676,max_epochs,6704.624204874039,28,47
40,seed040,False,104.31137242609779,max_epochs,6669.854598999023,28,48
61,seed061,True,14.320748468534003,success,1382.7722585201263,29,49
51,seed051,True,8.262818401126555,success,5079.360096693039,30,50
48,seed048,True,19.028527922669813,success,5563.190074920654,31,51
44,seed044,False,43.38045174954331,max_epochs,6723.642609834671,31,52
55,seed055,True,14.19023059120963,success,4310.208180904388,32,53
46,seed046,False,100.96524625532506,max_epochs,6694.587276220322,32,54
63,seed063,True,12.18547814202029,success,2024.8482179641724,33,55
49,seed049,False,34.465414039353576,max_epochs,6689.311747312546,33,56
66,seed066,True,15.316433536711802,success,1390.1131489276886,34,57
70,seed070,True,16.859007905965363,success,1417.8120584487915,35,58
67,seed067,True,15.000004588662396,success,1877.0060336589813,36,59
54,seed054,False,69.13512367589088,max_epochs,6840.367952108383,36,60
52,seed052,True,19.43490617290366,success,7049.802808046341,37,61
73,seed073,True,19.287618758215366,success,1418.9871032238007,38,62
75,seed075,True,13.394650157554896,success,1180.5892612934113,39,63
56,seed056,False,62.86337825472901,max_epochs,6640.5337426662445,39,64
71,seed071,True,19.62944440182912,success,2463.329121828079,40,65
57,seed057,False,66.47662227353172,max_epochs,6584.470120429993,40,66
74,seed074,True,17.383880365851816,success,2115.6594429016113,41,67
58,seed058,False,33.239079525043536,max_epochs,6488.282131910324,41,68
81,seed081,True,17.31272398798937,success,1220.7581269741058,42,69
77,seed077,True,10.004771240618531,success,2124.280853509903,43,70
83,seed083,True,8.622530440597814,success,1358.1414699554443,44,71
79,seed079,True,12.736177683126332,success,2421.885479450226,45,72
59,seed059,False,71.16281758679466,max_epochs,6407.852389335632,45,73
60,seed060,False,105.54246734412828,max_epochs,6397.186336994171,45,74
80,seed080,True,19.886436115931737,success,2948.8584003448486,46,75
82,seed082,True,16.923548929786147,success,2736.832193374634,47,76
62,seed062,False,110.75948704788321,max_epochs,6242.224534511566,47,77
88,seed088,True,12.898080324574938,success,1646.3892035484314,48,78
64,seed064,False,110.78613485860487,max_epochs,6272.502213478088,48,79
65,seed065,False,67.58935235748402,max_epochs,6127.191654443741,48,80
89,seed089,True,13.147894778130658,success,2287.9462032318115,49,81
68,seed068,False,103.46607343200871,max_epochs,6179.046241283417,49,82
69,seed069,False,87.62541522876424,max_epochs,6079.043211221695,49,83
72,seed072,False,103.42226463641175,max_epochs,6045.202878952026,49,84
94,seed094,True,19.1950302551281,success,1737.3195068836212,50,85
76,seed076,False,62.76868045783547,max_epochs,6081.144771575928,50,86
78,seed078,False,110.77605433578682,max_epochs,6066.17381978035,50,87
98,seed098,True,17.894063375286642,success,2396.7665989398956,51,88
96,seed096,True,15.681219522375564,success,2749.600957632065,52,89
92,seed092,True,13.380373649539052,success,3789.5443761348724,53,90
95,seed095,True,15.511724941748277,success,3464.653308391571,54,91
84,seed084,False,111.00563793838343,max_epochs,5977.103697538376,54,92
85,seed085,False,33.43115905776661,max_epochs,5956.049893140793,54,93
86,seed086,False,110.77107713265198,max_epochs,5964.802568435669,54,94
107,seed107,True,8.777119261300205,success,1420.1409373283386,55,95
87,seed087,False,70.44437096549454,max_epochs,6234.331747293472,55,96
91,seed091,True,19.741396381300454,success,5727.523349285126,56,97
90,seed090,False,105.1779737608187,max_epochs,5959.910679101944,56,98
99,seed099,True,16.721747309055345,success,4695.895838975906,57,99
93,seed093,False,63.478283600094024,max_epochs,6023.740302562714,57,100
109,seed109,True,14.941515628104032,success,2364.0358283519745,58,101
97,seed097,False,70.93352415639357,max_epochs,6068.6086802482605,58,102
101,seed101,False,110.80965120284021,max_epochs,5965.769032716751,58,103
116,seed116,True,19.085644671132506,success,1868.6488165855408,59,104
100,seed100,False,110.72260526764535,max_epochs,6116.453482627869,59,105
102,seed102,False,112.75548817019195,max_epochs,6024.157049417496,59,106
112,seed112,True,19.00531768419746,success,3219.95507311821,60,107
110,seed110,True,18.99551205003564,success,3703.2373769283295,61,108
121,seed121,True,17.704064530245073,success,1011.3971290588379,62,109
103,seed103,False,110.67677537665278,max_epochs,6063.435973167419,62,110
104,seed104,False,69.4620950986954,max_epochs,6124.901818275452,62,111
113,seed113,True,17.103632143212796,success,3856.012049436569,63,112
105,seed105,False,49.722256624983736,max_epochs,6022.119880914688,63,113
106,seed106,False,101.5745110263632,max_epochs,5995.811106920242,63,114
108,seed108,False,109.23209487719139,max_epochs,5945.705260753632,63,115
123,seed123,True,19.356046065441184,success,2563.089020013809,64,116
114,seed114,True,12.882831530928243,success,5660.268612384796,65,117
111,seed111,False,72.28722577352858,max_epochs,6043.708143234253,65,118
118,seed118,True,16.472970058768357,success,4584.86182808876,66,119
115,seed115,False,110.81388328724327,max_epochs,5990.888680934906,66,120
120,seed120,True,17.50646386068745,success,5102.0764191150665,67,121
127,seed127,True,5.496181329137978,success,3602.9198849201202,68,122
117,seed117,False,29.773186825647244,max_epochs,6008.519009113312,68,123
119,seed119,False,110.85687886365848,max_epochs,5881.98105764389,68,124
136,seed136,True,19.85562805443252,success,1728.1872136592865,69,125
135,seed135,True,15.600533517850963,success,2166.852293252945,70,126
137,seed137,True,14.32988126387339,success,2560.9081687927246,71,127
124,seed124,False,100.27608062751719,max_epochs,5973.14463019371,71,128
122,seed122,False,41.769515957260595,max_epochs,6052.034036159515,71,129
125,seed125,False,61.30275530665874,max_epochs,6029.163358449936,71,130
143,seed143,True,17.02391021135133,success,1966.3416979312897,72,131
139,seed139,True,18.58272404104709,success,2905.5278630256653,73,132
129,seed129,False,106.35894781522775,max_epochs,5974.318777084351,73,133
126,seed126,False,65.85932491759976,max_epochs,6487.480349779129,73,134
130,seed130,False,21.10563512238117,max_epochs,5911.194886445999,73,135
128,seed128,False,21.51205363068029,max_epochs,6571.23205280304,73,136
131,seed131,False,110.71472112598384,max_epochs,5979.0572872161865,73,137
132,seed132,False,100.05069346132791,max_epochs,6008.230089187622,73,138
133,seed133,False,100.00432838824516,max_epochs,6007.44180560112,73,139
134,seed134,False,107.61822592558437,max_epochs,5988.869354724884,73,140
155,seed155,True,19.416699125171714,success,1173.0919189453125,74,141
151,seed151,True,17.243697399043267,success,1808.2554981708527,75,142
138,seed138,False,59.39593375709529,max_epochs,6098.10348200798,75,143
147,seed147,True,16.764331360532914,success,3250.900276184082,76,144
149,seed149,True,15.63556712410514,success,3427.1943776607513,77,145
158,seed158,True,13.621188617872017,success,1823.031149148941,78,146
157,seed157,True,10.135015470717011,success,2469.2746982574463,79,147
140,seed140,False,54.93121976536931,max_epochs,6039.476577043533,79,148
141,seed141,False,102.9672775639774,max_epochs,6218.687118053436,79,149
142,seed142,False,108.69325101265035,max_epochs,5927.222724676132,79,150
165,seed165,True,10.477649074713199,success,866.555068731308,80,151
145,seed145,True,19.761473377106334,success,5767.298143863678,81,152
160,seed160,True,11.048641311949572,success,2427.7185056209564,82,153
144,seed144,False,106.28126979258424,max_epochs,5945.143817186356,82,154
162,seed162,True,17.634574658819464,success,1786.7211174964905,83,155
146,seed146,False,101.05642432904675,max_epochs,6000.186584234238,83,156
170,seed170,True,16.415534642642804,success,1202.0662429332733,84,157
173,seed173,True,19.037168431935328,success,1179.6859278678894,85,158
161,seed161,True,13.829780175205208,success,3434.4319593906403,86,159
148,seed148,False,110.85534894961364,max_epochs,6005.87625670433,86,160
174,seed174,True,19.823049092125324,success,1443.9556739330292,87,161
150,seed150,False,61.0004383427033,max_epochs,6040.246842384338,87,162
152,seed152,False,27.698537539900883,max_epochs,5963.782379627228,87,163
153,seed153,False,35.79642452979977,max_epochs,5941.7210557460785,87,164
154,seed154,False,110.82252616171061,max_epochs,5960.760498523712,87,165
156,seed156,False,72.13795028051592,max_epochs,5938.079293012619,87,166
167,seed167,True,17.968935231065124,success,3323.1325788497925,88,167
179,seed179,True,17.834048704349414,success,1348.816227197647,89,168
180,seed180,True,19.414991779118182,success,885.076826095581,90,169
168,seed168,True,15.463311508948838,success,3286.9992775917053,91,170
166,seed166,True,18.931934282054055,success,3636.460475921631,92,171
159,seed159,False,43.56893946081987,max_epochs,5954.634346246719,92,172
187,seed187,True,16.82241080239433,success,911.8360304832458,93,173
175,seed175,True,11.805238471022857,success,3299.568425655365,94,174
163,seed163,False,100.51012782123789,max_epochs,6042.36356139183,94,175
188,seed188,True,17.81356145165678,success,2027.5092778205872,95,176
164,seed164,False,100.7283181518098,max_epochs,6110.23420548439,95,177
191,seed191,True,19.27513654031383,success,2427.930034637451,96,178
169,seed169,False,41.90594300418657,max_epochs,6207.8512489795685,96,179
182,seed182,True,19.75172535560017,success,3942.601157426834,97,180
193,seed193,True,19.95442308973923,success,1737.1586158275604,98,181
171,seed171,False,32.89508107435295,max_epochs,6150.48281121254,98,182
172,seed172,False,110.65354883640413,max_epochs,6283.53968167305,98,183
194,seed194,True,19.43419347510961,success,1503.7405896186829,99,184
189,seed189,True,18.50611134072095,success,3472.9936287403107,100,185
199,seed199,True,16.186712083968228,success,1022.2849531173706,101,186
176,seed176,False,110.62683624499778,max_epochs,6212.542967796326,101,187
204,seed204,True,12.953060414547664,success,1015.5283703804016,102,188
177,seed177,False,107.75439228501169,max_epochs,6191.22883939743,102,189
178,seed178,False,110.649978286047,max_epochs,6357.0083639621735,102,190
181,seed181,True,13.590933330308367,success,5700.229545354843,103,191
208,seed208,True,19.537360945578783,success,942.6123628616333,104,192
183,seed183,False,100.19933402806836,max_epochs,6307.839141130447,104,193
203,seed203,True,17.423359416712188,success,2258.217388868332,105,194
185,seed185,False,110.8219053660713,max_epochs,6284.007843017578,105,195
207,seed207,True,10.54716074374662,success,1266.2891237735748,106,196
184,seed184,False,21.039223814020648,max_epochs,6527.580631017685,106,197
200,seed200,True,18.071198538652563,success,2804.0455179214478,107,198
186,seed186,False,110.73007551531815,max_epochs,6254.7280259132385,107,199
190,seed190,False,103.92680840890888,max_epochs,6223.510659456253,107,200
213,seed213,True,14.578922664444496,success,847.8777148723602,108,201
192,seed192,False,103.30342282094526,max_epochs,6176.263724088669,108,202
211,seed211,True,10.018387306428224,success,2460.8913741111755,109,203
195,seed195,False,55.73149906773705,max_epochs,6229.794130325317,109,204
196,seed196,False,106.00934774538963,max_epochs,6077.925759315491,109,205
217,seed217,True,17.83166709884106,success,2901.8140194416046,110,206
197,seed197,False,110.72894567735413,max_epochs,6084.348122835159,110,207
222,seed222,True,14.475339311197835,success,1131.3381650447845,111,208
201,seed201,False,52.375565207855,max_epochs,5990.505939245224,111,209
198,seed198,False,73.88069110156945,max_epochs,6315.3521955013275,111,210
214,seed214,True,17.21419392228969,success,3574.9317150115967,112,211
221,seed221,True,12.355152799634027,success,2284.7295038700104,113,212
202,seed202,False,110.8239543508973,max_epochs,6082.755675077438,113,213
219,seed219,True,19.00493340904672,success,3273.017091989517,114,214
205,seed205,False,23.609437489540255,max_epochs,6051.11873793602,114,215
206,seed206,False,111.81871955454233,max_epochs,6149.393830537796,114,216
233,seed233,True,12.57049773664653,success,1192.8068962097168,115,217
209,seed209,False,110.87192375694951,max_epochs,6037.7678644657135,115,218
210,seed210,False,100.24149304249732,max_epochs,5984.7121489048,115,219
230,seed230,True,18.28916536426223,success,1865.996416568756,116,220
212,seed212,False,110.79830474358174,max_epochs,5941.400610923767,116,221
215,seed215,False,110.80543433531749,max_epochs,5941.43788933754,116,222
218,seed218,False,62.76732294026715,max_epochs,5937.367582321167,116,223
216,seed216,False,110.79142329931524,max_epochs,6281.308092832565,116,224
235,seed235,True,12.006596939042257,success,1751.7330577373505,117,225
220,seed220,False,27.971309156013227,max_epochs,5979.974341869354,117,226
242,seed242,True,19.062892751620065,success,860.3806374073029,118,227
236,seed236,True,16.896570220896223,success,2113.830436706543,119,228
226,seed226,True,17.30926983446304,success,4170.4197199344635,120,229
239,seed239,True,12.293329710561313,success,2500.286365032196,121,230
247,seed247,True,9.137015333650883,success,1245.6038093566895,122,231
224,seed224,False,108.98232355945629,max_epochs,5900.929147005081,122,232
223,seed223,False,32.069362285943114,max_epochs,6006.490944623947,122,233
248,seed248,True,12.267242813655105,success,1146.663598060608,123,234
245,seed245,True,13.908531614813416,success,2588.0733449459076,124,235
246,seed246,True,16.77062840558528,success,2297.4713950157166,125,236
227,seed227,False,110.87079532469018,max_epochs,5983.830130815506,125,237
229,seed229,False,110.90880900334545,max_epochs,5943.309198856354,125,238
228,seed228,False,110.76805894709176,max_epochs,6019.904797554016,125,239
225,seed225,False,52.063680755128466,max_epochs,6520.762700557709,125,240
231,seed231,False,50.10816852760462,max_epochs,6028.072629451752,125,241
232,seed232,False,60.38330467407838,max_epochs,5989.953541278839,125,242
254,seed254,True,19.543524273044444,success,870.7190630435944,126,243
255,seed255,True,19.47738977907793,success,1176.6092307567596,127,244
234,seed234,False,71.43890587211091,max_epochs,6155.911157608032,127,245
