seed,file,fitness,loss,parse_ok,rne_is_oscillator,rne_is_broken_oscillator,rne_fixed_by_reaction_removal,rne_posthoc_success,error
seed000,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed000.ant,0.07295458406072573,13.707157855462828,true,true,false,false,true,
seed001,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed001.ant,0.029672167164709967,33.701616550250876,true,false,false,false,false,
seed002,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed002.ant,0.008638841059748681,115.75626789331065,true,false,false,false,false,
seed003,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed003.ant,0.02607779266520895,38.34680384333777,true,false,false,false,false,
seed004,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed004.ant,0.008689956450033846,115.07537531975838,true,false,false,false,false,
seed005,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed005.ant,0.01616593776615575,61.858459092521876,true,false,false,false,false,
seed006,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed006.ant,0.05002322256520155,19.990715286216805,true,false,false,false,false,
seed007,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed007.ant,0.03639682906089992,27.47492091486265,true,false,false,false,false,
seed008,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed008.ant,0.008955081137100905,111.66844662713324,true,false,false,false,false,
seed009,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed009.ant,0.009467837209262116,105.62074293184175,true,false,false,false,false,
seed010,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed010.ant,0.009025177273760645,110.80114768574693,true,false,false,false,false,
seed011,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed011.ant,0.009852460104200727,101.49749295342356,true,false,false,false,false,
seed012,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed012.ant,0.1277744593526126,7.826290207500322,true,false,false,false,false,
seed013,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed013.ant,0.008990129094057256,111.23310794958772,true,false,false,false,false,
seed014,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed014.ant,0.009027494339351294,110.77270861760063,true,false,false,false,false,
seed015,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed015.ant,0.00853836552175133,117.11843413736719,true,false,false,false,false,
seed016,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed016.ant,0.011269982865196052,88.73127953798394,true,false,false,false,false,
seed017,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed017.ant,0.008993641011919531,111.18967264477993,true,false,false,false,false,
seed018,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed018.ant,0.008740503676279411,114.40988266086653,true,false,true,false,false,
seed019,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed019.ant,0.03528910460111118,28.337358266905756,true,true,false,false,true,
seed020,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed020.ant,0.008943792411036435,111.80939293336269,true,false,false,false,false,
seed021,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed021.ant,0.0089255590529829,112.03779999257328,true,false,false,false,false,
seed022,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed022.ant,0.00901100965417789,110.97535552371285,true,false,false,false,false,
seed023,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed023.ant,0.050206181084380345,19.917866254741096,true,false,false,false,false,
seed024,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed024.ant,0.009202458469152712,108.66661374806203,true,false,false,false,false,
seed025,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed025.ant,0.009356140700839125,106.88167610714885,true,false,false,false,false,
seed026,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed026.ant,0.008606955657488341,116.18509956304543,true,false,false,false,false,
seed027,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed027.ant,0.008960420468876684,111.60190567768794,true,false,false,false,false,
seed028,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed028.ant,0.04197678176388842,23.822693355217503,true,false,false,false,false,
seed029,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed029.ant,0.03371570533668105,29.65976805213233,true,true,false,false,true,
seed030,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed030.ant,0.0658276928365182,15.191174973783157,true,false,false,false,false,
seed031,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed031.ant,0.009021258000151574,110.84928509784314,true,false,false,false,false,
seed032,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed032.ant,0.05031611790849874,19.874347258238956,true,false,false,false,false,
seed033,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed033.ant,0.00881073088127467,113.49796214128918,true,false,false,false,false,
seed034,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed034.ant,0.07478602753277776,13.37148171911809,true,false,false,false,false,
seed035,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed035.ant,0.00902426939355263,110.81229475645397,true,false,false,false,false,
seed036,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed036.ant,0.009057300073871,110.40817813741815,true,false,false,false,false,
seed037,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed037.ant,0.009012934084558364,110.95166020500196,true,false,false,false,false,
seed038,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed038.ant,0.05619044944810812,17.79661863932055,true,true,false,false,true,
seed039,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed039.ant,0.015466910500208543,64.65415313462354,true,true,false,false,true,
seed040,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed040.ant,0.012332868135722302,81.0841394714574,true,false,false,false,false,
seed041,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed041.ant,0.04309842108841465,23.202706148991883,true,false,false,false,false,
seed042,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed042.ant,0.08839584084644043,11.312749450929267,true,true,false,false,true,
seed043,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed043.ant,0.023806581911118695,42.00519015008018,true,false,false,false,false,
seed044,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed044.ant,0.008935504904433535,111.91309396560561,true,false,false,false,false,
seed045,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed045.ant,0.050384770604271295,19.84726710088914,true,true,false,false,true,
seed046,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed046.ant,0.031986338075612,31.263347421518393,true,false,false,false,false,
seed047,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed047.ant,0.01588479434049861,62.9532859264334,true,false,false,false,false,
seed048,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed048.ant,0.009008410023448729,111.00738059180455,true,false,false,false,false,
seed049,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed049.ant,0.009025006623371532,110.8032427821558,true,false,false,false,false,
seed050,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed050.ant,0.009020301234632279,110.86104266237024,true,false,false,false,false,
seed051,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed051.ant,0.016665380204795823,60.00463162023921,true,false,false,false,false,
seed052,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed052.ant,0.10573750309991638,9.457382392083277,true,true,false,false,true,
seed053,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed053.ant,0.0101462328467198,98.55874738014636,true,false,false,false,false,
seed054,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed054.ant,0.008310248219151778,120.33334909243776,true,false,false,false,false,
seed055,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed055.ant,0.04057477275636224,24.645855837681733,true,false,false,false,false,
seed056,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed056.ant,0.06059414583332091,16.50324443471397,true,false,false,false,false,
seed057,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed057.ant,0.00902189689382487,110.84143520687543,true,false,false,false,false,
seed058,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed058.ant,0.051382924999102075,19.461718071080522,true,true,false,false,true,
seed059,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed059.ant,0.009177959794001007,108.95667691349338,true,false,false,false,false,
seed060,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed060.ant,0.008934048205833708,111.93134142112926,true,false,false,false,false,
seed061,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed061.ant,0.008925576510528773,112.03758085770501,true,false,false,false,false,
seed062,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed062.ant,0.012800785600877213,78.12020536704185,true,false,false,false,false,
seed063,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed063.ant,0.07047058848408154,14.190317145228438,true,true,false,false,true,
seed064,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed064.ant,0.07051827476349427,14.180721286132167,true,true,false,false,true,
seed065,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed065.ant,0.008942844527657971,111.8212440020903,true,false,false,false,false,
seed066,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed066.ant,0.009123575248665059,109.60615468659807,true,false,false,false,false,
seed067,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed067.ant,0.06961488624613288,14.364743719674616,true,true,false,false,true,
seed068,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed068.ant,0.008923672197927099,112.06148968944561,true,false,false,false,false,
seed069,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed069.ant,0.008333947135063918,119.99116190606007,true,false,false,false,false,
seed070,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed070.ant,0.06600189236164565,15.151080737513972,true,true,false,false,true,
seed071,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed071.ant,0.008985421873626746,111.29137997795249,true,false,false,false,false,
seed072,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed072.ant,0.015414741694882434,64.8729651001542,true,true,false,false,true,
seed073,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed073.ant,0.011675037661847713,85.65282862151712,true,false,false,false,false,
seed074,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed074.ant,0.00918578104960358,108.86390548609427,true,false,false,false,false,
seed075,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed075.ant,0.016814020598426727,59.47417479038708,true,false,false,false,false,
seed076,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed076.ant,0.02639819724010091,37.88137465996816,true,true,false,false,true,
seed077,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed077.ant,0.009035501127758108,110.67454763830243,true,false,false,false,false,
seed078,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed078.ant,0.008931318918768022,111.96554608509479,true,false,false,false,false,
seed079,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed079.ant,0.1155194204420566,8.656553124776021,true,true,false,false,true,
seed080,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed080.ant,0.009843982502195927,101.58490222599715,true,false,false,false,false,
seed081,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed081.ant,0.025995701773611282,38.46789783590757,true,false,false,false,false,
seed082,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed082.ant,0.041952472365421635,23.83649743666185,true,false,false,false,false,
seed083,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed083.ant,0.07525875604819185,13.287490419847643,true,true,false,false,true,
seed084,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed084.ant,0.02857107545267774,35.00043257581604,true,false,false,false,false,
seed085,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed085.ant,0.00926807043286248,107.89732417809714,true,false,false,false,false,
seed086,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed086.ant,0.008656997147221405,115.5134953834385,true,false,false,false,false,
seed087,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed087.ant,0.030710372447583557,32.56228825315614,true,false,false,false,false,
seed088,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed088.ant,0.008980452719023063,111.35296084591877,true,false,false,false,false,
seed089,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed089.ant,0.008639499788584967,115.74744192033674,true,false,false,false,false,
seed090,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed090.ant,0.008671825158204522,115.31597809647806,true,false,false,false,false,
seed091,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed091.ant,0.008981724061556423,111.33719908855808,true,false,false,false,false,
seed092,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed092.ant,0.009042744439543777,110.58589642620177,true,false,false,false,false,
seed093,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed093.ant,0.009210554459150155,108.57109682539878,true,true,false,false,true,
seed094,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed094.ant,0.05823992046662477,17.170353118408954,true,true,false,false,true,
seed095,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed095.ant,0.00903834307070293,110.63974803539162,true,false,false,false,false,
seed096,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed096.ant,0.012616622577094548,79.2605147605428,true,false,false,false,false,
seed097,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed097.ant,0.009019611143584568,110.86952464810813,true,false,false,false,false,
seed098,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed098.ant,0.06770289982421428,14.770416076658877,true,false,false,false,false,
seed099,comparisons/rne_oscillator/data/posthoc/rl4crn_rne_oscillator_trace_risk09_lr1e4_entropy001_s4_c03_antimony/seed099.ant,0.008768265416478105,114.04764254976942,true,false,false,false,false,
