label,kind,successes,n,rate,reported_rate,ci95_low,ci95_high,p_vs_22pct_paper,p_vs_26pct_paper
Our method batch 100,ours,126,400,0.315,,0.2714209156648816,0.3620986332388081,0.0003612336780663715,0.03016837698436409
Our method batch 200,ours,167,400,0.4175,,0.37018126768159904,0.46638826088355984,5.500569021603781e-12,6.058912982839459e-08
RNE paper 22%,paper,154,700,0.22,0.22,0.19088669110349177,0.25216970307822234,,
RNE paper 26%,paper,182,700,0.26,0.26,0.22887833208082048,0.29374143436064876,,
