seed,run_id,success,best_loss,stop_reason,elapsed_seconds,success_count_so_far,finished_count_so_far,seed_label,loss_success,parse_ok,rne_is_oscillator,rne_is_broken_oscillator,rne_fixed_by_reaction_removal,rne_posthoc_success,error
56,seed056,False,62.86337825472901,max_epochs,6640.5337426662445,39,64,seed056,False,True,False,True,True,True,
71,seed071,True,19.62944440182912,success,2463.329121828079,40,65,seed071,True,True,False,False,False,False,
57,seed057,False,66.47662227353172,max_epochs,6584.470120429993,40,66,seed057,False,True,False,False,False,False,
74,seed074,True,17.383880365851816,success,2115.659442901612,41,67,seed074,True,True,False,False,False,False,
58,seed058,False,33.239079525043536,max_epochs,6488.282131910324,41,68,seed058,False,True,False,False,False,False,
81,seed081,True,17.31272398798937,success,1220.7581269741058,42,69,seed081,True,True,True,False,False,True,
77,seed077,True,10.004771240618531,success,2124.280853509903,43,70,seed077,True,True,False,False,False,False,
83,seed083,True,8.622530440597814,success,1358.1414699554443,44,71,seed083,True,True,True,False,False,True,
79,seed079,True,12.736177683126332,success,2421.885479450226,45,72,seed079,True,True,False,False,False,False,
59,seed059,False,71.16281758679466,max_epochs,6407.852389335632,45,73,seed059,False,True,True,False,False,True,
60,seed060,False,105.54246734412828,max_epochs,6397.186336994171,45,74,seed060,False,True,False,False,False,False,
80,seed080,True,19.886436115931737,success,2948.8584003448486,46,75,seed080,True,True,True,False,False,True,
82,seed082,True,16.923548929786147,success,2736.832193374634,47,76,seed082,True,True,False,False,False,False,
62,seed062,False,110.7594870478832,max_epochs,6242.224534511566,47,77,seed062,False,True,False,False,False,False,
88,seed088,True,12.898080324574938,success,1646.3892035484314,48,78,seed088,True,True,False,False,False,False,
64,seed064,False,110.78613485860488,max_epochs,6272.502213478088,48,79,seed064,False,True,False,False,False,False,
65,seed065,False,67.58935235748402,max_epochs,6127.191654443741,48,80,seed065,False,True,False,False,False,False,
89,seed089,True,13.147894778130658,success,2287.9462032318115,49,81,seed089,True,True,False,False,False,False,
68,seed068,False,103.46607343200871,max_epochs,6179.046241283417,49,82,seed068,False,True,False,False,False,False,
69,seed069,False,87.62541522876424,max_epochs,6079.043211221695,49,83,seed069,False,True,False,False,False,False,
72,seed072,False,103.42226463641175,max_epochs,6045.202878952026,49,84,seed072,False,True,False,False,False,False,
94,seed094,True,19.1950302551281,success,1737.3195068836212,50,85,seed094,True,True,True,False,False,True,
76,seed076,False,62.76868045783547,max_epochs,6081.144771575928,50,86,seed076,False,True,True,False,False,True,
78,seed078,False,110.77605433578682,max_epochs,6066.17381978035,50,87,seed078,False,True,False,False,False,False,
98,seed098,True,17.894063375286642,success,2396.766598939896,51,88,seed098,True,True,True,False,False,True,
96,seed096,True,15.681219522375564,success,2749.600957632065,52,89,seed096,True,True,False,False,False,False,
92,seed092,True,13.380373649539052,success,3789.544376134872,53,90,seed092,True,True,False,False,False,False,
95,seed095,True,15.511724941748277,success,3464.653308391571,54,91,seed095,True,True,True,False,False,True,
84,seed084,False,111.00563793838344,max_epochs,5977.103697538376,54,92,seed084,False,True,False,False,False,False,
85,seed085,False,33.43115905776661,max_epochs,5956.049893140793,54,93,seed085,False,True,True,False,False,True,
86,seed086,False,110.77107713265198,max_epochs,5964.802568435669,54,94,seed086,False,True,False,False,False,False,
107,seed107,True,8.777119261300205,success,1420.1409373283386,55,95,seed107,True,True,False,True,True,True,
87,seed087,False,70.44437096549454,max_epochs,6234.331747293472,55,96,seed087,False,True,True,False,False,True,
91,seed091,True,19.74139638130045,success,5727.523349285126,56,97,seed091,True,True,True,False,False,True,
90,seed090,False,105.1779737608187,max_epochs,5959.910679101944,56,98,seed090,False,True,False,False,False,False,
99,seed099,True,16.721747309055345,success,4695.895838975906,57,99,seed099,True,True,False,False,False,False,
93,seed093,False,63.47828360009402,max_epochs,6023.740302562714,57,100,seed093,False,True,True,False,False,True,
109,seed109,True,14.941515628104032,success,2364.0358283519745,58,101,seed109,True,True,True,False,False,True,
97,seed097,False,70.93352415639357,max_epochs,6068.6086802482605,58,102,seed097,False,True,True,False,False,True,
101,seed101,False,110.8096512028402,max_epochs,5965.769032716751,58,103,seed101,False,True,False,False,False,False,
116,seed116,True,19.085644671132503,success,1868.6488165855408,59,104,seed116,True,True,False,False,False,False,
100,seed100,False,110.72260526764536,max_epochs,6116.453482627869,59,105,seed100,False,True,True,False,False,True,
102,seed102,False,112.75548817019197,max_epochs,6024.157049417496,59,106,seed102,False,True,False,False,False,False,
112,seed112,True,19.00531768419746,success,3219.95507311821,60,107,seed112,True,True,False,False,False,False,
110,seed110,True,18.99551205003564,success,3703.2373769283295,61,108,seed110,True,True,True,False,False,True,
121,seed121,True,17.704064530245073,success,1011.397129058838,62,109,seed121,True,True,True,False,False,True,
103,seed103,False,110.67677537665278,max_epochs,6063.435973167419,62,110,seed103,False,True,False,False,False,False,
104,seed104,False,69.4620950986954,max_epochs,6124.901818275452,62,111,seed104,False,True,True,False,False,True,
113,seed113,True,17.103632143212796,success,3856.012049436569,63,112,seed113,True,True,True,False,False,True,
105,seed105,False,49.722256624983736,max_epochs,6022.119880914688,63,113,seed105,False,True,False,False,False,False,
106,seed106,False,101.5745110263632,max_epochs,5995.811106920242,63,114,seed106,False,True,False,True,False,False,
108,seed108,False,109.2320948771914,max_epochs,5945.705260753632,63,115,seed108,False,True,False,False,False,False,
123,seed123,True,19.356046065441184,success,2563.089020013809,64,116,seed123,True,True,True,False,False,True,
114,seed114,True,12.882831530928245,success,5660.268612384796,65,117,seed114,True,True,False,False,False,False,
111,seed111,False,72.28722577352858,max_epochs,6043.708143234253,65,118,seed111,False,True,False,False,False,False,
118,seed118,True,16.472970058768357,success,4584.86182808876,66,119,seed118,True,True,True,False,False,True,
115,seed115,False,110.81388328724329,max_epochs,5990.888680934906,66,120,seed115,False,True,False,False,False,False,
120,seed120,True,17.50646386068745,success,5102.0764191150665,67,121,seed120,True,True,True,False,False,True,
127,seed127,True,5.496181329137978,success,3602.91988492012,68,122,seed127,True,True,True,False,False,True,
