run,n,loss_success,loss_rate,rne_posthoc_success,rne_posthoc_rate,overlap,overlap_rate,posthoc_pvalue_vs_0_22,loss_pvalue_vs_0_22,best_loss_min,best_loss_median,posthoc_fisher_p_bs200_gt_bs100
batch_size_100,400,157,0.3925,126,0.315,100,0.25,6.949253884038303e-06,5.756379185647758e-15,4.413352438533215,63.796070012576436,
batch_size_200,400,210,0.525,167,0.4175,136,0.34,7.932434000658589e-19,2.1351766463838885e-40,4.239059290816615,19.827915112414274,0.0016492266808330672
