seed,epoch,saved_best_loss,epoch_best_loss,success,finished
seed000,169,13.707157855462828,13.707157855462828,True,True
seed001,801,33.701616550250876,124.94782544243759,False,True
seed002,801,115.75626789331065,117.60474610393847,False,True
seed003,801,38.34680384333777,115.55504213435326,False,True
seed004,801,115.07537531975838,115.18279096891023,False,True
seed005,801,61.858459092521876,69.2559614602755,False,True
seed006,635,19.990715286216805,19.990715286216805,True,True
seed007,801,27.47492091486265,55.13490280469913,False,True
seed008,801,111.66844662713322,117.74401532895058,False,True
seed009,801,105.62074293184175,116.95234812960722,False,True
seed010,801,110.80114768574691,110.85119135240095,False,True
seed011,801,101.49749295342356,117.0390881082253,False,True
seed012,588,7.826290207500321,7.826290207500321,True,True
seed013,801,111.23310794958772,118.65648381584016,False,True
seed014,801,110.77270861760063,111.34802036256917,False,True
seed015,801,117.11843413736719,117.91744473322989,False,True
seed016,801,88.73127953798394,106.72041811141224,False,True
seed017,801,111.18967264477993,118.78502861858851,False,True
seed018,801,114.40988266086653,115.2308677022445,False,True
seed019,801,28.337358266905756,111.6806347159935,False,True
seed020,801,111.80939293336269,125.01402980697269,False,True
seed021,801,112.03779999257328,118.56771860687283,False,True
seed022,801,110.97535552371284,111.94940566532694,False,True
seed023,484,19.917866254741096,19.917866254741096,True,True
seed024,801,108.66661374806203,114.24823550300039,False,True
seed025,801,106.88167610714885,117.85159418284019,False,True
seed026,801,116.18509956304543,116.18670830697343,False,True
seed027,801,111.60190567768794,124.99999766524962,False,True
seed028,801,23.822693355217503,104.9550570185088,False,True
seed029,801,29.65976805213233,77.19562876003329,False,True
seed030,182,15.191174973783157,15.191174973783157,True,True
seed031,801,110.84928509784314,111.70445431375528,False,True
seed032,146,19.874347258238956,19.874347258238956,True,True
seed033,801,113.49796214128918,116.53331746044368,False,True
seed034,422,13.37148171911809,13.37148171911809,True,True
seed035,801,110.81229475645395,111.40667595576781,False,True
seed036,801,110.40817813741815,116.4723365911343,False,True
seed037,801,110.95166020500196,111.68011295933138,False,True
seed038,213,17.79661863932055,17.79661863932055,True,True
seed039,801,64.65415313462354,66.98348629498523,False,True
seed040,801,81.0841394714574,116.40022976233722,False,True
seed041,801,23.202706148991883,117.17702056054304,False,True
seed042,327,11.312749450929267,11.312749450929267,True,True
seed043,801,42.00519015008018,88.32138466481953,False,True
seed044,801,111.91309396560561,117.15977812017132,False,True
seed045,306,19.84726710088914,19.84726710088914,True,True
seed046,801,31.263347421518397,46.60191101627657,False,True
seed047,801,62.953285926433395,115.82826348388188,False,True
seed048,801,111.00738059180455,112.15600010369391,False,True
seed049,801,110.8032427821558,110.98944845546046,False,True
seed050,801,110.86104266237025,111.66659481657285,False,True
seed051,801,60.00463162023921,118.1872111204398,False,True
seed052,195,9.457382392083277,9.457382392083277,True,True
seed053,801,98.55874738014636,101.63144902534546,False,True
seed054,801,120.33334909243774,120.54483766090262,False,True
seed055,801,24.645855837681733,114.64163498993223,False,True
seed056,365,16.50324443471397,16.50324443471397,True,True
seed057,801,110.84143520687543,113.56649072365951,False,True
seed058,202,19.461718071080522,19.461718071080522,True,True
seed059,801,108.95667691349338,113.2930843398202,False,True
seed060,801,111.93134142112925,121.57271219609474,False,True
seed061,801,112.03758085770501,117.99112038965346,False,True
seed062,801,78.12020536704185,120.51363605614395,False,True
seed063,218,14.190317145228438,14.190317145228438,True,True
seed064,643,14.180721286132165,14.180721286132165,True,True
seed065,801,111.82124400209031,119.09266217403925,False,True
seed066,801,109.60615468659807,120.19183714270878,False,True
seed067,313,14.364743719674614,14.364743719674614,True,True
seed068,801,112.06148968944561,120.9553666506188,False,True
seed069,801,119.99116190606007,120.6160051402669,False,True
seed070,483,15.151080737513972,15.151080737513972,True,True
seed071,801,111.29137997795249,118.4079236463961,False,True
seed072,801,64.8729651001542,124.99953107193762,False,True
seed073,801,85.65282862151712,120.46904250565471,False,True
seed074,801,108.86390548609427,112.65155126226972,False,True
seed075,801,59.47417479038708,114.046070588748,False,True
seed076,801,37.88137465996816,84.86433205010206,False,True
seed077,801,110.67454763830243,120.4821460741995,False,True
seed078,801,111.9655460850948,112.46302657940598,False,True
seed079,742,8.656553124776021,8.656553124776021,True,True
seed080,801,101.58490222599715,112.33755267122747,False,True
seed081,801,38.46789783590757,93.87862302571878,False,True
seed082,801,23.83649743666185,107.54518303931101,False,True
seed083,164,13.287490419847643,13.287490419847643,True,True
seed084,801,35.00043257581604,119.15734550980211,False,True
seed085,801,107.89732417809712,121.11003872272191,False,True
seed086,801,115.5134953834385,121.31152970408117,False,True
seed087,801,32.56228825315614,48.49058672349805,False,True
seed088,801,111.35296084591879,115.31164031550593,False,True
seed089,801,115.74744192033674,116.29157445550014,False,True
seed090,801,115.31597809647805,115.99854004937501,False,True
seed091,801,111.33719908855808,117.41967518380781,False,True
seed092,801,110.58589642620176,111.20617486169341,False,True
seed093,801,108.57109682539878,114.81821642438814,False,True
seed094,270,17.170353118408954,17.170353118408954,True,True
seed095,801,110.63974803539162,120.7545380599819,False,True
seed096,801,79.2605147605428,102.98720397422575,False,True
seed097,801,110.86952464810813,111.3272740910584,False,True
seed098,531,14.770416076658876,14.770416076658876,True,True
seed099,801,114.04764254976942,122.20628015437907,False,True
