topology_id,topology_hash,count,min_best_loss,seeds
58,49ecade8bb8d,1,4.54095058774636,seed230
3,d29ecc927437,1,4.663023927765267,seed369
112,39908880c7d5,1,5.312473602400877,seed312
42,be890ee515c3,1,6.921361483485553,seed145
85,b747064042ea,1,7.202604856857569,seed299
122,e5c23f023043,1,7.6522597881026515,seed118
114,2df44ed4d14e,1,7.911126571250549,seed069
64,29a5830ce59f,1,8.240304019150809,seed353
93,9bf7502bfffe,1,8.36465351812518,seed211
65,8daf15bcf025,1,9.147181942568205,seed372
61,b4ed466e212d,1,9.76443470845565,seed254
33,dcf1b611ee8b,1,10.193949107719478,seed361
2,10e107b36cdd,1,10.421034731271703,seed298
34,d41cb272fa79,1,10.95318624620611,seed030
107,cfc88592c606,1,11.215635559967886,seed129
111,9a9bba378cc3,1,11.444898847374478,seed063
23,acb2d6cd1711,1,11.649539116626997,seed112
96,b98ef4b3477e,1,11.93486246111047,seed060
125,c05365cd4ec0,1,11.970934971479636,seed050
21,108c8a79148c,1,12.239438859676197,seed228
8,cfb23e577b81,1,12.512011085545712,seed073
94,b6384e151a8c,1,12.629977680902028,seed297
43,b43fafd03efa,1,12.925654388688429,seed126
48,e0535806f73b,1,12.93565012814216,seed161
28,4078b0ca9c2f,1,13.01608046345126,seed277
56,7794333ccfbb,1,13.018393082149752,seed042
105,f13e86f526ed,1,13.078836160968905,seed175
121,30ef7408fe30,1,13.311365160411274,seed196
38,ac2ebf71348a,1,13.431077487602716,seed054
99,51825ba5a9d1,1,13.683815209243823,seed226
118,ac9be00befa7,1,13.749985846519364,seed273
71,6f77847b3816,1,13.751165216342828,seed014
47,70844f12c9b0,1,13.908724719319014,seed251
15,6bab63c08af1,1,13.950826923609227,seed398
83,11eb58410791,1,13.955587075621814,seed208
54,7e0a882b855c,1,14.03801968344522,seed017
31,f7ca7295946d,1,14.122974098960745,seed138
6,213becf2fa50,1,14.22793790615628,seed229
57,50baddccf759,1,14.430991139306856,seed335
123,0b96cf051f6c,1,14.556121782785668,seed013
55,95653bb34253,1,14.642067565848148,seed057
13,11360f002678,1,14.830134182003246,seed302
95,dadff88289d0,1,15.056890104150051,seed087
27,07f6057df040,1,15.14054107848314,seed020
7,0fc1a5c98fc5,1,15.252024034990576,seed212
19,89fafd2e462c,1,15.35232064418472,seed037
44,efa311d35d73,1,15.417893950911832,seed173
109,74b9d7177e93,1,15.792767469071752,seed004
30,61762b56e0c0,1,15.811536369156638,seed282
68,aec5062364a0,1,15.872709260563138,seed393
80,e5d3c738cefe,1,15.93230287762901,seed255
101,05abd51cf458,1,16.036817014943136,seed115
116,9e0d0b9c38b0,1,16.40717593521643,seed026
51,af4171ebb946,1,16.421526355299626,seed291
20,4e02b77b185a,1,16.477357336478274,seed055
74,ede5eae5a0eb,1,16.622599719969433,seed283
103,121a9f21fea4,1,16.63681128886115,seed329
75,4a7cef96b3ee,1,16.85459026608493,seed281
59,fcbd2bfeacf3,1,16.97403477123957,seed121
14,1c35fb79557f,1,17.00071763513393,seed207
35,cb2508921f45,1,17.072441287560686,seed035
63,0d3e59ad6719,1,17.173209524760146,seed056
86,f1a946758be0,1,17.178520584272384,seed347
119,cbbe23ec2f09,1,17.401820902096507,seed034
69,f8cd3c4ffb97,1,17.545856047298695,seed310
46,ce021fad1454,1,17.6171692653593,seed222
40,e8b2aa486810,1,17.702389195498526,seed350
22,98acddffd188,1,17.819267297135,seed300
79,c75b7ebc1271,1,17.846604154042126,seed083
49,6b5a382cace6,1,18.01630461877473,seed238
45,dc031016f6d3,1,18.188691560844816,seed045
16,b2e7514fe51f,1,18.20029045694355,seed258
50,12821871edff,1,18.229247649438083,seed243
77,afdc78000385,1,18.246983776856474,seed359
70,88eed90604d7,1,18.31807739151194,seed097
108,9d6277063e82,1,18.36077412935442,seed047
87,5210d66d1b48,1,18.673022433454136,seed242
4,2a43860dd25f,1,18.710299824548056,seed214
1,3bf22f28143b,1,18.88577227857049,seed062
53,c8252437f0d7,1,18.944830139167703,seed269
10,8dede2e02adc,1,19.118279819768205,seed105
5,f24ea7d08bfb,1,19.15819429971699,seed089
76,05b4f52aff34,1,19.17546034564544,seed197
41,9d049b0fb87e,1,19.18128944024745,seed102
82,324b67e3a016,1,19.318698604192488,seed199
11,c2ff49eadab1,1,19.40381307458733,seed305
102,cd0923586912,1,19.40608074692153,seed340
110,dc825ffb3792,1,19.532726101332244,seed301
104,6cc4723f5aa7,1,19.6248315952679,seed381
90,6f23bcb69b5f,1,19.663129950878947,seed022
88,d9eb2b3d6f72,1,19.68821106277208,seed187
73,93c1ca116a25,1,19.68861741583797,seed131
81,aa27b4c19f8d,1,19.69566146100661,seed241
37,72c011fc06b4,1,19.73471192178549,seed337
72,b4efb49fd795,1,19.764622988132537,seed224
98,2cd544862be4,1,19.844991790167025,seed051
9,21c2adae16fa,1,19.88175797108237,seed184
39,bc0c9b6332b8,1,19.88240139317981,seed068
120,52704995a728,1,19.90137392712248,seed345
18,6886d6c38174,1,19.907518151015424,seed132
78,18766465a442,1,21.99907087308246,seed144
117,314c36863cde,1,22.6253276913816,seed286
106,a6ce09dd7414,1,25.625939597552183,seed264
124,e0dcada414e4,1,26.020071177728667,seed124
12,5fd13e5d9049,1,29.67247322498437,seed190
0,26e445aa0e73,1,31.77756420740048,seed079
115,e10f9abd1f00,1,32.524718731182226,seed158
62,27a76809f96d,1,35.199543804227915,seed348
91,fdcbd80dc9ff,1,45.74029196421773,seed367
113,80dcca9fe039,1,55.97267259342118,seed134
100,e7b37725afad,1,61.742448706150256,seed308
97,34bdee0e4849,1,63.470898725379634,seed276
92,9d437cc4b3d9,1,65.4199013092371,seed358
36,18ef48bb3974,1,66.59269204561933,seed021
89,1efb75eaca25,1,67.70617913619867,seed362
26,fb9e10551791,1,67.73822281248218,seed137
24,18544c846c64,1,69.2768850300485,seed041
29,4c4ecee8aa29,1,69.3872929511805,seed127
17,2e3b62b13f43,1,70.90500159692732,seed172
66,2f204735d635,1,71.41260231673814,seed288
32,14dcad15b511,1,71.9436955559436,seed076
60,6074ff7ffc1b,1,76.82134020883318,seed390
52,8aaa81e6a275,1,78.24627306378531,seed387
67,d7c0d97a8f25,1,79.28520657888754,seed059
25,2fc0e5af138b,1,92.533600512871,seed181
84,d442cd7e2274,1,108.72271984448015,seed146
