seed,run_id,success,best_loss,stop_reason,elapsed_seconds,success_count_so_far,finished_count_so_far,seed_label,loss_success,parse_ok,rne_is_oscillator,rne_is_broken_oscillator,rne_fixed_by_reaction_removal,rne_posthoc_success,error
17,seed017,True,14.03801968344522,success,1076.3375861644745,1,1,seed017,True,True,True,False,False,True,
14,seed014,True,13.751165216342828,success,1105.5189344882965,2,2,seed014,True,True,True,False,False,True,
13,seed013,True,14.556121782785668,success,1229.781851530075,3,3,seed013,True,True,True,False,False,True,
3,seed003,True,18.290157635740837,success,1452.5749118328094,4,4,seed003,True,True,False,False,False,False,
0,seed000,True,4.413352438533215,success,2053.4673013687134,5,5,seed000,True,True,False,False,False,False,
4,seed004,True,15.792767469071752,success,2201.582766532898,6,6,seed004,True,True,True,False,False,True,
22,seed022,True,19.663129950878947,success,1691.2059814929962,7,7,seed022,True,True,True,False,False,True,
11,seed011,True,19.854646256487896,success,2974.310065031052,8,8,seed011,True,True,False,False,False,False,
10,seed010,False,105.58835775210616,max_epochs,3729.249796152115,8,9,seed010,False,True,False,False,False,False,
5,seed005,False,108.41080355429116,max_epochs,3765.527937650681,8,10,seed005,False,True,False,False,False,False,
2,seed002,False,110.8298274491661,max_epochs,3784.500151634216,8,11,seed002,False,True,False,False,False,False,
9,seed009,False,84.45781228816452,max_epochs,3799.9552834033966,8,12,seed009,False,True,False,False,False,False,
12,seed012,False,109.13237896564308,max_epochs,3799.567576169968,8,13,seed012,False,True,False,False,False,False,
8,seed008,False,110.87623104254348,max_epochs,3809.65740776062,8,14,seed008,False,True,False,False,False,False,
6,seed006,False,104.21338023509364,max_epochs,3818.393379688263,8,15,seed006,False,True,False,False,False,False,
7,seed007,False,44.4861777527187,max_epochs,3818.951678752899,8,16,seed007,False,True,False,False,False,False,
16,seed016,False,76.89431535743701,max_epochs,3815.110507726669,8,17,seed016,False,True,False,False,False,False,
15,seed015,False,110.77230625217624,max_epochs,3822.046243190765,8,18,seed015,False,True,False,False,False,False,
1,seed001,False,110.87554106450256,max_epochs,3831.16933131218,8,19,seed001,False,True,False,False,False,False,
18,seed018,False,110.7781794646206,max_epochs,3830.972901582718,8,20,seed018,False,True,False,False,False,False,
19,seed019,False,110.78093360704496,max_epochs,3832.261968374252,8,21,seed019,False,True,False,False,False,False,
20,seed020,True,15.14054107848314,success,2798.3694384098053,9,22,seed020,True,True,True,False,False,True,
35,seed035,True,17.072441287560686,success,762.4572191238403,10,23,seed035,True,True,True,False,False,True,
37,seed037,True,15.35232064418472,success,883.8106155395508,11,24,seed037,True,True,True,False,False,True,
34,seed034,True,17.401820902096507,success,899.4376244544983,12,25,seed034,True,True,True,False,False,True,
24,seed024,True,19.35762859678083,success,2773.0734508037567,13,26,seed024,True,True,False,False,False,False,
21,seed021,False,66.59269204561933,max_epochs,3820.761431932449,13,27,seed021,False,True,True,False,False,True,
23,seed023,False,33.68402640998118,max_epochs,3749.92268705368,13,28,seed023,False,True,False,False,False,False,
42,seed042,True,13.018393082149752,success,635.1363182067871,14,29,seed042,True,True,True,False,False,True,
30,seed030,True,10.95318624620611,success,1445.3046758174896,15,30,seed030,True,True,True,False,False,True,
26,seed026,True,16.40717593521643,success,2443.848694562912,16,31,seed026,True,True,True,False,False,True,
38,seed038,True,18.636240707319477,success,2039.8833816051483,17,32,seed038,True,True,False,False,False,False,
25,seed025,False,100.67720943194864,max_epochs,3720.1795756816864,17,33,seed025,False,True,False,False,False,False,
29,seed029,True,19.25471757065913,success,2195.245069503784,18,34,seed029,True,True,False,False,False,False,
28,seed028,True,19.765692469003756,success,2240.7445573806763,19,35,seed028,True,True,False,False,False,False,
50,seed050,True,11.970934971479636,success,792.4344160556793,20,36,seed050,True,True,True,False,False,True,
45,seed045,True,18.188691560844816,success,1432.5347294807434,21,37,seed045,True,True,True,False,False,True,
27,seed027,False,100.15269547730124,max_epochs,3671.750829219818,21,38,seed027,False,True,False,False,False,False,
54,seed054,True,13.431077487602716,success,848.0096337795258,22,39,seed054,True,True,True,False,False,True,
33,seed033,True,18.48999576678112,success,3239.584497451782,23,40,seed033,True,True,False,False,False,False,
43,seed043,True,19.68144833751777,success,2390.089663028717,24,41,seed043,True,True,False,False,False,False,
47,seed047,True,18.36077412935442,success,1909.0200595855715,25,42,seed047,True,True,True,False,False,True,
56,seed056,True,17.173209524760146,success,902.8406901359558,26,43,seed056,True,True,True,False,False,True,
32,seed032,False,95.8025086297399,max_epochs,3562.5239481925964,26,44,seed032,False,True,False,False,False,False,
31,seed031,False,100.40382945194236,max_epochs,3577.9913794994354,26,45,seed031,False,True,False,True,False,False,
36,seed036,False,39.19428465053446,max_epochs,3577.848269701004,26,46,seed036,False,True,False,False,False,False,
39,seed039,False,110.88421249636671,max_epochs,3576.466820716858,26,47,seed039,False,True,False,False,False,False,
41,seed041,False,69.2768850300485,max_epochs,3597.949856042862,26,48,seed041,False,True,True,False,False,True,
40,seed040,False,32.87363759314108,max_epochs,3708.211694717407,26,49,seed040,False,True,False,False,False,False,
60,seed060,True,11.93486246111047,success,735.6780443191528,27,50,seed060,True,True,True,False,False,True,
63,seed063,True,11.444898847374478,success,704.9322130680084,28,51,seed063,True,True,True,False,False,True,
51,seed051,True,19.844991790167025,success,2221.939524412155,29,52,seed051,True,True,True,False,False,True,
44,seed044,False,100.53239618799034,max_epochs,3581.8802559375763,29,53,seed044,False,True,False,False,False,False,
55,seed055,True,16.477357336478274,success,2365.1172988414764,30,54,seed055,True,True,True,False,False,True,
46,seed046,False,105.33863315436196,max_epochs,3656.8157415390015,30,55,seed046,False,True,False,False,False,False,
48,seed048,False,107.78625101385214,max_epochs,3534.3740532398224,30,56,seed048,False,True,False,False,False,False,
49,seed049,False,110.84222380560767,max_epochs,3682.769555330277,30,57,seed049,False,True,False,False,False,False,
71,seed071,True,15.261307110194029,success,906.7793743610382,31,58,seed071,True,True,False,False,False,False,
57,seed057,True,14.642067565848148,success,2510.40645813942,32,59,seed057,True,True,True,False,False,True,
62,seed062,True,18.88577227857049,success,2153.225616455078,33,60,seed062,True,True,True,False,False,True,
73,seed073,True,12.512011085545712,success,837.2466151714325,34,61,seed073,True,True,True,False,False,True,
69,seed069,True,7.911126571250549,success,1628.9489035606384,35,62,seed069,True,True,True,False,False,True,
