seed,run_id,success,best_loss,stop_reason,elapsed_seconds,success_count_so_far,finished_count_so_far,seed_label,loss_success,parse_ok,rne_is_oscillator,rne_is_broken_oscillator,rne_fixed_by_reaction_removal,rne_posthoc_success,error
62,seed062,True,19.06186631447679,success,2954.2611503601074,32,63,seed062,True,True,False,False,False,False,
70,seed070,True,19.86977623322059,success,1483.8654477596283,33,64,seed070,True,True,True,False,False,True,
58,seed058,False,33.65819098020069,max_epochs,3827.804095745087,33,65,seed058,False,True,False,False,False,False,
60,seed060,False,110.794248868159,max_epochs,3785.0567696094513,33,66,seed060,False,True,False,False,False,False,
59,seed059,False,100.32082962499732,max_epochs,3844.3882904052734,33,67,seed059,False,True,False,False,False,False,
61,seed061,False,110.81247029672733,max_epochs,3826.230533838272,33,68,seed061,False,True,False,False,False,False,
71,seed071,True,18.625332016097552,success,1819.6182796955109,34,69,seed071,True,True,False,False,False,False,
76,seed076,True,18.294147101605247,success,1259.0615994930267,35,70,seed076,True,True,True,False,False,True,
63,seed063,False,106.45187688376728,max_epochs,3757.4195833206177,35,71,seed063,False,True,False,False,False,False,
64,seed064,False,20.405350091640365,max_epochs,3747.576507091522,35,72,seed064,False,True,True,False,False,True,
86,seed086,True,18.8784729068306,success,964.0975131988524,36,73,seed086,True,True,False,False,False,False,
78,seed078,True,17.39125702858722,success,1806.6629304885864,37,74,seed078,True,True,False,False,False,False,
68,seed068,False,76.31964823660412,max_epochs,3766.08412861824,37,75,seed068,False,True,True,False,False,True,
72,seed072,True,10.984922041591004,success,3391.3639147281647,38,76,seed072,True,True,True,False,False,True,
74,seed074,True,15.63570322983654,success,3188.4653401374817,39,77,seed074,True,True,False,False,False,False,
73,seed073,False,77.38967494106608,max_epochs,3866.6583659648895,39,78,seed073,False,True,False,False,False,False,
75,seed075,False,110.7945282011226,max_epochs,3876.8770735263824,39,79,seed075,False,True,False,False,False,False,
82,seed082,True,16.49477130950789,success,3223.9397432804108,40,80,seed082,True,True,False,False,False,False,
77,seed077,False,26.21712795198204,max_epochs,3950.999372243881,40,81,seed077,False,True,False,False,False,False,
80,seed080,False,101.33712504351206,max_epochs,3747.55094242096,40,82,seed080,False,True,False,True,True,True,
79,seed079,False,100.40159870766745,max_epochs,3782.829365253449,40,83,seed079,False,True,False,False,False,False,
81,seed081,False,110.59516655276416,max_epochs,3781.777810573578,40,84,seed081,False,True,False,False,False,False,
83,seed083,False,69.56313772870512,max_epochs,3747.404383420944,40,85,seed083,False,True,False,False,False,False,
84,seed084,False,100.1661812283994,max_epochs,3761.484385251999,40,86,seed084,False,True,False,False,False,False,
87,seed087,False,37.670144346218905,max_epochs,3652.7509903907776,40,87,seed087,False,True,False,False,False,False,
88,seed088,False,104.63208974556092,max_epochs,3610.060696601868,40,88,seed088,False,True,False,False,False,False,
85,seed085,False,32.18810323446773,max_epochs,3904.43607378006,40,89,seed085,False,True,True,False,False,True,
89,seed089,False,34.910105023532026,max_epochs,3569.739677667618,40,90,seed089,False,True,False,False,False,False,
98,seed098,True,19.60822481539893,success,1092.3063373565674,41,91,seed098,True,True,True,False,False,True,
90,seed090,False,105.11777582683033,max_epochs,3287.56654715538,41,92,seed090,False,True,False,False,False,False,
91,seed091,False,20.77835171119928,max_epochs,3296.593212127685,41,93,seed091,False,True,True,False,False,True,
92,seed092,False,101.9077848296988,max_epochs,3246.3586478233337,41,94,seed092,False,True,False,False,False,False,
93,seed093,False,57.67226030885556,max_epochs,3149.094434261322,41,95,seed093,False,True,False,False,False,False,
94,seed094,False,103.30752814091731,max_epochs,2798.0884461402893,41,96,seed094,False,True,False,False,False,False,
95,seed095,False,28.97007483966722,max_epochs,2619.281072854996,41,97,seed095,False,True,False,False,False,False,
96,seed096,False,93.741793509046,max_epochs,2562.974372863769,41,98,seed096,False,True,False,False,False,False,
97,seed097,False,65.38756139614507,max_epochs,2110.2115750312805,41,99,seed097,False,True,True,False,False,True,
99,seed099,False,109.29932688635044,max_epochs,1858.05094575882,41,100,seed099,False,True,False,False,False,False,
