metricName,metricValue,timestamp,step,epoch,runContext,offset
Timing: Rewards,87.4084746837616,1784110728813,0,,,-3945478283597343978
Timing: Rewards,93.93005704879761,1784110852536,1,,,-1041626097802066751
Timing: Rewards,80.01156806945801,1784110945894,2,,,-8272238288671720690
Timing: Rewards,85.7598602771759,1784111045312,3,,,-6877190334565905403
Timing: Rewards,86.28718996047974,1784111145584,4,,,-6153227391416805238
Timing: Rewards,88.21372270584106,1784111247694,5,,,-5744059084047382558
Timing: Rewards,105.7805426120758,1784111382992,6,,,-4953087369520737964
Timing: Rewards,81.20060300827026,1784111478332,7,,,-5706509869697501706
Timing: Rewards,85.85003280639648,1784111578973,8,,,-2599964467192100574
Timing: Rewards,89.42879319190979,1784111683222,9,,,-8118910660624021080
Timing: Rewards,85.07778453826904,1784111783048,10,,,-996360083411078059
Timing: Rewards,88.19682812690735,1784111901489,11,,,-1990022739358239124
Timing: Rewards,86.13683152198792,1784112002715,12,,,-4153811384167167839
Timing: Rewards,92.55976557731628,1784112110122,13,,,-7986011331849502901
Timing: Rewards,91.78895545005798,1784112216812,14,,,-273594893899513559
Timing: Rewards,80.68484020233154,1784112311232,15,,,-413386704111016619
Timing: Rewards,87.53327178955078,1784112427967,16,,,-8586411482667923198
Timing: Rewards,89.21124601364136,1784112532030,17,,,-3736436407174403364
Timing: Rewards,89.55457639694214,1784112635081,18,,,-989097272112088936
Timing: Rewards,96.83416938781738,1784112745274,19,,,-1004804262741768304
Timing: Rewards,95.4851496219635,1784112854144,20,,,-5494112237340351375
Timing: Rewards,100.23052906990051,1784112983559,21,,,-7806483924623830696
Timing: Rewards,101.35006904602051,1784113098270,22,,,-2017362568681293573
Timing: Rewards,100.09803223609924,1784113213395,23,,,-2163955300564189547
Timing: Rewards,107.03071308135986,1784113335464,24,,,-2724774854364456399
Timing: Rewards,103.99823427200317,1784113454420,25,,,-2446643844730768339
Timing: Rewards,110.24657368659973,1784113594882,26,,,-5143813486822149293
Timing: Rewards,199.48796439170837,1784113809193,27,,,-8787000063643726842
Timing: Rewards,116.6082866191864,1784113940752,28,,,-5269815155705190636
Timing: Rewards,113.9451367855072,1784114069676,29,,,-6030988676124374534
Timing: Rewards,118.92533802986145,1784114203571,30,,,-5692036029887669736
Timing: Rewards,116.15237069129944,1784114350363,31,,,-5294920176781325734
Timing: Rewards,120.36120343208313,1784114485721,32,,,-4064550602143303935
Timing: Rewards,115.3919415473938,1784114616322,33,,,-5671655157844890706
Timing: Rewards,122.44420671463013,1784114754042,34,,,-7565008838645380930
Timing: Rewards,119.3071084022522,1784114888438,35,,,-1370593264954257440
Timing: Rewards,212.8755989074707,1784115132240,36,,,-7967467355617668102
Timing: Rewards,115.89938616752625,1784115263371,37,,,-4745618004716192787
Timing: Rewards,124.07362794876099,1784115402541,38,,,-8679507869512888228
Timing: Rewards,132.0953917503357,1784115548033,39,,,-6426601046372947999
Timing: Rewards,121.23379778862,1784115682639,40,,,-6713042977129439104
Timing: Rewards,121.79298949241638,1784115832767,41,,,-2932908825981572870
Timing: Rewards,125.69976377487183,1784115972409,42,,,-6666836184077627369
Timing: Rewards,131.5165958404541,1784116117345,43,,,-1187799990635658888
Timing: Rewards,128.53571939468384,1784116261069,44,,,-6473616626814754161
Timing: Rewards,130.04241061210632,1784116406560,45,,,-2659998614481092912
Timing: Rewards,126.98967242240906,1784116564220,46,,,-6316154526360226954
Timing: Rewards,131.5073356628418,1784116710833,47,,,-5653977633571375708
Timing: Rewards,121.65154123306274,1784116847900,48,,,-738896022086288791
Timing: Rewards,137.946537733078,1784117001050,49,,,-3627555717250806211
Timing: Rewards,128.33651065826416,1784117144710,50,,,-2308273693403106970
Timing: Rewards,132.7883861064911,1784117307914,51,,,-1112847319561215179
Timing: Rewards,133.64713191986084,1784117456697,52,,,-7685701224877646308
Timing: Rewards,132.27968049049377,1784117603999,53,,,-6105522472419365252
Timing: Rewards,133.93223762512207,1784117752685,54,,,-7971597521494152953
Timing: Rewards,135.12979912757874,1784117902882,55,,,-1580296254503497752
Timing: Rewards,141.26794338226318,1784118074926,56,,,-8733265878681754158
Timing: Rewards,144.46476650238037,1784118234513,57,,,-3136842575548361212
Timing: Rewards,138.33270835876465,1784118387565,58,,,-3505215545129033371
Timing: Rewards,142.19193267822266,1784118544700,59,,,-7208225555404494658
Timing: Rewards,150.11573123931885,1784118708279,60,,,-8244525303075017969
Timing: Rewards,146.26940393447876,1784118883711,61,,,-4738344640249313761
Timing: Rewards,150.33314037322998,1784119047133,62,,,-4219386110692762361
