method,run_id,seed,epoch,candidate_evaluations,batch_size,n_cpus,epoch_best_loss,epoch_median_loss,saved_best_loss,success,stop_reason,elapsed_seconds
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_bs200,seed362,362,1,200,200,16,123.10892704953223,130.09046166990288,123.10892704953223,False,max_epochs,6.817247629165649
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_bs200,seed362,362,2,400,200,16,124.17592536219179,131.04539502904316,123.10892704953223,False,max_epochs,12.930014371871948
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_bs200,seed362,362,3,600,200,16,122.4055742291426,130.83825237850178,122.4055742291426,False,max_epochs,20.854663848876953
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_bs200,seed362,362,4,800,200,16,123.26511395153076,130.9743542530828,122.4055742291426,False,max_epochs,29.239458322525024
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_bs200,seed362,362,5,1000,200,16,123.56394385375607,131.10190149058866,122.4055742291426,False,max_epochs,37.72376322746277
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_bs200,seed362,362,6,1200,200,16,122.63608255940146,130.5891349592398,122.4055742291426,False,max_epochs,46.134520292282104
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_bs200,seed362,362,7,1400,200,16,124.02710693484121,130.6413895323476,122.4055742291426,False,max_epochs,54.29662013053894
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_bs200,seed362,362,8,1600,200,16,124.12429126769318,129.90827104628022,122.4055742291426,False,max_epochs,62.99119782447815
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_bs200,seed362,362,9,1800,200,16,124.06528330936862,131.83298555939732,122.4055742291426,False,max_epochs,71.41723299026489
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_bs200,seed362,362,10,2000,200,16,122.51878273930186,129.84347233879254,122.4055742291426,False,max_epochs,79.26278400421143
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_bs200,seed362,362,11,2200,200,16,123.18628965806694,130.18160144690614,122.4055742291426,False,max_epochs,87.2541241645813
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_bs200,seed362,362,12,2400,200,16,122.44752189756251,130.95460570204597,122.4055742291426,False,max_epochs,95.63827872276306
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_bs200,seed362,362,13,2600,200,16,124.4751013462215,130.82402667862,122.4055742291426,False,max_epochs,103.26050519943237
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_bs200,seed362,362,14,2800,200,16,123.28825228065924,132.48422374651332,122.4055742291426,False,max_epochs,105.9088819026947
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_bs200,seed362,362,15,3000,200,16,123.42899918935377,130.39856063832383,122.4055742291426,False,max_epochs,113.2810709476471
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_bs200,seed362,362,16,3200,200,16,122.16908682934293,129.76307700241097,122.16908682934293,False,max_epochs,121.21086025238037
