crn_rank_excluded_index,reaction_i,reaction_j,reaction_i_text,reaction_j_text,zeta_i,zeta_j,passing_ordered_pairs,rank_S_upper_bound,required_rank,exclusion_reason
482,12,309,0 -> X2+X3,X1 -> 2X3,"(0, 1, 1, 0, 0)","(-1, 0, 2, 0, 0)",12->309;309->12,2,5,rank(S) <= m = 2 < n = 5
483,12,310,0 -> X2+X3,X1 -> X2,"(0, 1, 1, 0, 0)","(-1, 1, 0, 0, 0)",12->310;310->12,2,5,rank(S) <= m = 2 < n = 5
484,12,311,0 -> X2+X3,X1 -> X2+X5,"(0, 1, 1, 0, 0)","(-1, 1, 0, 0, 1)",12->311;311->12,2,5,rank(S) <= m = 2 < n = 5
485,12,312,0 -> X2+X3,X1 -> X2+X4,"(0, 1, 1, 0, 0)","(-1, 1, 0, 1, 0)",12->312;312->12,2,5,rank(S) <= m = 2 < n = 5
486,12,313,0 -> X2+X3,X1 -> X2+X3,"(0, 1, 1, 0, 0)","(-1, 1, 1, 0, 0)",12->313;313->12,2,5,rank(S) <= m = 2 < n = 5
487,12,314,0 -> X2+X3,X1 -> 2X2,"(0, 1, 1, 0, 0)","(-1, 2, 0, 0, 0)",12->314;314->12,2,5,rank(S) <= m = 2 < n = 5
488,12,315,0 -> X2+X3,X1 -> X1+X5,"(0, 1, 1, 0, 0)","(0, 0, 0, 0, 1)",12->315;315->12,2,5,rank(S) <= m = 2 < n = 5
489,12,316,0 -> X2+X3,X1 -> X1+X4,"(0, 1, 1, 0, 0)","(0, 0, 0, 1, 0)",12->316;316->12,2,5,rank(S) <= m = 2 < n = 5
490,12,317,0 -> X2+X3,X1 -> X1+X3,"(0, 1, 1, 0, 0)","(0, 0, 1, 0, 0)",12->317;317->12,2,5,rank(S) <= m = 2 < n = 5
491,12,318,0 -> X2+X3,X1 -> X1+X2,"(0, 1, 1, 0, 0)","(0, 1, 0, 0, 0)",12->318;318->12,2,5,rank(S) <= m = 2 < n = 5
492,12,319,0 -> X2+X3,X1 -> 2X1,"(0, 1, 1, 0, 0)","(1, 0, 0, 0, 0)",12->319;319->12,2,5,rank(S) <= m = 2 < n = 5
493,12,400,0 -> X2+X3,2X1 -> 0,"(0, 1, 1, 0, 0)","(-2, 0, 0, 0, 0)",12->400;400->12,2,5,rank(S) <= m = 2 < n = 5
494,12,401,0 -> X2+X3,2X1 -> X5,"(0, 1, 1, 0, 0)","(-2, 0, 0, 0, 1)",12->401;401->12,2,5,rank(S) <= m = 2 < n = 5
495,12,402,0 -> X2+X3,2X1 -> 2X5,"(0, 1, 1, 0, 0)","(-2, 0, 0, 0, 2)",12->402;402->12,2,5,rank(S) <= m = 2 < n = 5
496,12,403,0 -> X2+X3,2X1 -> X4,"(0, 1, 1, 0, 0)","(-2, 0, 0, 1, 0)",12->403;403->12,2,5,rank(S) <= m = 2 < n = 5
497,12,404,0 -> X2+X3,2X1 -> X4+X5,"(0, 1, 1, 0, 0)","(-2, 0, 0, 1, 1)",12->404;404->12,2,5,rank(S) <= m = 2 < n = 5
498,12,405,0 -> X2+X3,2X1 -> 2X4,"(0, 1, 1, 0, 0)","(-2, 0, 0, 2, 0)",12->405;405->12,2,5,rank(S) <= m = 2 < n = 5
499,12,406,0 -> X2+X3,2X1 -> X3,"(0, 1, 1, 0, 0)","(-2, 0, 1, 0, 0)",12->406;406->12,2,5,rank(S) <= m = 2 < n = 5
500,12,407,0 -> X2+X3,2X1 -> X3+X5,"(0, 1, 1, 0, 0)","(-2, 0, 1, 0, 1)",12->407;407->12,2,5,rank(S) <= m = 2 < n = 5
501,12,408,0 -> X2+X3,2X1 -> X3+X4,"(0, 1, 1, 0, 0)","(-2, 0, 1, 1, 0)",12->408;408->12,2,5,rank(S) <= m = 2 < n = 5
502,12,409,0 -> X2+X3,2X1 -> 2X3,"(0, 1, 1, 0, 0)","(-2, 0, 2, 0, 0)",12->409;409->12,2,5,rank(S) <= m = 2 < n = 5
503,12,410,0 -> X2+X3,2X1 -> X2,"(0, 1, 1, 0, 0)","(-2, 1, 0, 0, 0)",12->410;410->12,2,5,rank(S) <= m = 2 < n = 5
504,12,411,0 -> X2+X3,2X1 -> X2+X5,"(0, 1, 1, 0, 0)","(-2, 1, 0, 0, 1)",12->411;411->12,2,5,rank(S) <= m = 2 < n = 5
505,12,412,0 -> X2+X3,2X1 -> X2+X4,"(0, 1, 1, 0, 0)","(-2, 1, 0, 1, 0)",12->412;412->12,2,5,rank(S) <= m = 2 < n = 5
506,12,413,0 -> X2+X3,2X1 -> X2+X3,"(0, 1, 1, 0, 0)","(-2, 1, 1, 0, 0)",12->413;413->12,2,5,rank(S) <= m = 2 < n = 5
507,12,414,0 -> X2+X3,2X1 -> 2X2,"(0, 1, 1, 0, 0)","(-2, 2, 0, 0, 0)",12->414;414->12,2,5,rank(S) <= m = 2 < n = 5
508,12,415,0 -> X2+X3,2X1 -> X1,"(0, 1, 1, 0, 0)","(-1, 0, 0, 0, 0)",12->415;415->12,2,5,rank(S) <= m = 2 < n = 5
509,12,416,0 -> X2+X3,2X1 -> X1+X5,"(0, 1, 1, 0, 0)","(-1, 0, 0, 0, 1)",12->416;416->12,2,5,rank(S) <= m = 2 < n = 5
510,12,417,0 -> X2+X3,2X1 -> X1+X4,"(0, 1, 1, 0, 0)","(-1, 0, 0, 1, 0)",12->417;417->12,2,5,rank(S) <= m = 2 < n = 5
511,12,418,0 -> X2+X3,2X1 -> X1+X3,"(0, 1, 1, 0, 0)","(-1, 0, 1, 0, 0)",12->418;418->12,2,5,rank(S) <= m = 2 < n = 5
512,12,419,0 -> X2+X3,2X1 -> X1+X2,"(0, 1, 1, 0, 0)","(-1, 1, 0, 0, 0)",12->419;419->12,2,5,rank(S) <= m = 2 < n = 5
513,13,300,0 -> 2X2,X1 -> 0,"(0, 2, 0, 0, 0)","(-1, 0, 0, 0, 0)",13->300;300->13,2,5,rank(S) <= m = 2 < n = 5
514,13,301,0 -> 2X2,X1 -> X5,"(0, 2, 0, 0, 0)","(-1, 0, 0, 0, 1)",13->301;301->13,2,5,rank(S) <= m = 2 < n = 5
515,13,302,0 -> 2X2,X1 -> 2X5,"(0, 2, 0, 0, 0)","(-1, 0, 0, 0, 2)",13->302;302->13,2,5,rank(S) <= m = 2 < n = 5
516,13,303,0 -> 2X2,X1 -> X4,"(0, 2, 0, 0, 0)","(-1, 0, 0, 1, 0)",13->303;303->13,2,5,rank(S) <= m = 2 < n = 5
517,13,304,0 -> 2X2,X1 -> X4+X5,"(0, 2, 0, 0, 0)","(-1, 0, 0, 1, 1)",13->304;304->13,2,5,rank(S) <= m = 2 < n = 5
518,13,305,0 -> 2X2,X1 -> 2X4,"(0, 2, 0, 0, 0)","(-1, 0, 0, 2, 0)",13->305;305->13,2,5,rank(S) <= m = 2 < n = 5
519,13,306,0 -> 2X2,X1 -> X3,"(0, 2, 0, 0, 0)","(-1, 0, 1, 0, 0)",13->306;306->13,2,5,rank(S) <= m = 2 < n = 5
520,13,307,0 -> 2X2,X1 -> X3+X5,"(0, 2, 0, 0, 0)","(-1, 0, 1, 0, 1)",13->307;307->13,2,5,rank(S) <= m = 2 < n = 5
521,13,308,0 -> 2X2,X1 -> X3+X4,"(0, 2, 0, 0, 0)","(-1, 0, 1, 1, 0)",13->308;308->13,2,5,rank(S) <= m = 2 < n = 5
522,13,309,0 -> 2X2,X1 -> 2X3,"(0, 2, 0, 0, 0)","(-1, 0, 2, 0, 0)",13->309;309->13,2,5,rank(S) <= m = 2 < n = 5
523,13,310,0 -> 2X2,X1 -> X2,"(0, 2, 0, 0, 0)","(-1, 1, 0, 0, 0)",13->310;310->13,2,5,rank(S) <= m = 2 < n = 5
524,13,311,0 -> 2X2,X1 -> X2+X5,"(0, 2, 0, 0, 0)","(-1, 1, 0, 0, 1)",13->311;311->13,2,5,rank(S) <= m = 2 < n = 5
525,13,312,0 -> 2X2,X1 -> X2+X4,"(0, 2, 0, 0, 0)","(-1, 1, 0, 1, 0)",13->312;312->13,2,5,rank(S) <= m = 2 < n = 5
526,13,313,0 -> 2X2,X1 -> X2+X3,"(0, 2, 0, 0, 0)","(-1, 1, 1, 0, 0)",13->313;313->13,2,5,rank(S) <= m = 2 < n = 5
527,13,314,0 -> 2X2,X1 -> 2X2,"(0, 2, 0, 0, 0)","(-1, 2, 0, 0, 0)",13->314;314->13,2,5,rank(S) <= m = 2 < n = 5
528,13,315,0 -> 2X2,X1 -> X1+X5,"(0, 2, 0, 0, 0)","(0, 0, 0, 0, 1)",13->315;315->13,2,5,rank(S) <= m = 2 < n = 5
529,13,316,0 -> 2X2,X1 -> X1+X4,"(0, 2, 0, 0, 0)","(0, 0, 0, 1, 0)",13->316;316->13,2,5,rank(S) <= m = 2 < n = 5
530,13,317,0 -> 2X2,X1 -> X1+X3,"(0, 2, 0, 0, 0)","(0, 0, 1, 0, 0)",13->317;317->13,2,5,rank(S) <= m = 2 < n = 5
531,13,319,0 -> 2X2,X1 -> 2X1,"(0, 2, 0, 0, 0)","(1, 0, 0, 0, 0)",13->319;319->13,2,5,rank(S) <= m = 2 < n = 5
532,13,400,0 -> 2X2,2X1 -> 0,"(0, 2, 0, 0, 0)","(-2, 0, 0, 0, 0)",13->400;400->13,2,5,rank(S) <= m = 2 < n = 5
533,13,401,0 -> 2X2,2X1 -> X5,"(0, 2, 0, 0, 0)","(-2, 0, 0, 0, 1)",13->401;401->13,2,5,rank(S) <= m = 2 < n = 5
534,13,402,0 -> 2X2,2X1 -> 2X5,"(0, 2, 0, 0, 0)","(-2, 0, 0, 0, 2)",13->402;402->13,2,5,rank(S) <= m = 2 < n = 5
535,13,403,0 -> 2X2,2X1 -> X4,"(0, 2, 0, 0, 0)","(-2, 0, 0, 1, 0)",13->403;403->13,2,5,rank(S) <= m = 2 < n = 5
536,13,404,0 -> 2X2,2X1 -> X4+X5,"(0, 2, 0, 0, 0)","(-2, 0, 0, 1, 1)",13->404;404->13,2,5,rank(S) <= m = 2 < n = 5
537,13,405,0 -> 2X2,2X1 -> 2X4,"(0, 2, 0, 0, 0)","(-2, 0, 0, 2, 0)",13->405;405->13,2,5,rank(S) <= m = 2 < n = 5
538,13,406,0 -> 2X2,2X1 -> X3,"(0, 2, 0, 0, 0)","(-2, 0, 1, 0, 0)",13->406;406->13,2,5,rank(S) <= m = 2 < n = 5
539,13,407,0 -> 2X2,2X1 -> X3+X5,"(0, 2, 0, 0, 0)","(-2, 0, 1, 0, 1)",13->407;407->13,2,5,rank(S) <= m = 2 < n = 5
540,13,408,0 -> 2X2,2X1 -> X3+X4,"(0, 2, 0, 0, 0)","(-2, 0, 1, 1, 0)",13->408;408->13,2,5,rank(S) <= m = 2 < n = 5
541,13,409,0 -> 2X2,2X1 -> 2X3,"(0, 2, 0, 0, 0)","(-2, 0, 2, 0, 0)",13->409;409->13,2,5,rank(S) <= m = 2 < n = 5
542,13,410,0 -> 2X2,2X1 -> X2,"(0, 2, 0, 0, 0)","(-2, 1, 0, 0, 0)",13->410;410->13,2,5,rank(S) <= m = 2 < n = 5
543,13,411,0 -> 2X2,2X1 -> X2+X5,"(0, 2, 0, 0, 0)","(-2, 1, 0, 0, 1)",13->411;411->13,2,5,rank(S) <= m = 2 < n = 5
544,13,412,0 -> 2X2,2X1 -> X2+X4,"(0, 2, 0, 0, 0)","(-2, 1, 0, 1, 0)",13->412;412->13,2,5,rank(S) <= m = 2 < n = 5
545,13,413,0 -> 2X2,2X1 -> X2+X3,"(0, 2, 0, 0, 0)","(-2, 1, 1, 0, 0)",13->413;413->13,2,5,rank(S) <= m = 2 < n = 5
546,13,414,0 -> 2X2,2X1 -> 2X2,"(0, 2, 0, 0, 0)","(-2, 2, 0, 0, 0)",13->414;414->13,2,5,rank(S) <= m = 2 < n = 5
547,13,415,0 -> 2X2,2X1 -> X1,"(0, 2, 0, 0, 0)","(-1, 0, 0, 0, 0)",13->415;415->13,2,5,rank(S) <= m = 2 < n = 5
548,13,416,0 -> 2X2,2X1 -> X1+X5,"(0, 2, 0, 0, 0)","(-1, 0, 0, 0, 1)",13->416;416->13,2,5,rank(S) <= m = 2 < n = 5
549,13,417,0 -> 2X2,2X1 -> X1+X4,"(0, 2, 0, 0, 0)","(-1, 0, 0, 1, 0)",13->417;417->13,2,5,rank(S) <= m = 2 < n = 5
550,13,418,0 -> 2X2,2X1 -> X1+X3,"(0, 2, 0, 0, 0)","(-1, 0, 1, 0, 0)",13->418;418->13,2,5,rank(S) <= m = 2 < n = 5
551,13,419,0 -> 2X2,2X1 -> X1+X2,"(0, 2, 0, 0, 0)","(-1, 1, 0, 0, 0)",13->419;419->13,2,5,rank(S) <= m = 2 < n = 5
552,14,300,0 -> X1,X1 -> 0,"(1, 0, 0, 0, 0)","(-1, 0, 0, 0, 0)",14->300;300->14,2,5,rank(S) <= m = 2 < n = 5
553,14,301,0 -> X1,X1 -> X5,"(1, 0, 0, 0, 0)","(-1, 0, 0, 0, 1)",14->301;301->14,2,5,rank(S) <= m = 2 < n = 5
554,14,302,0 -> X1,X1 -> 2X5,"(1, 0, 0, 0, 0)","(-1, 0, 0, 0, 2)",14->302;302->14,2,5,rank(S) <= m = 2 < n = 5
555,14,303,0 -> X1,X1 -> X4,"(1, 0, 0, 0, 0)","(-1, 0, 0, 1, 0)",14->303;303->14,2,5,rank(S) <= m = 2 < n = 5
556,14,304,0 -> X1,X1 -> X4+X5,"(1, 0, 0, 0, 0)","(-1, 0, 0, 1, 1)",14->304;304->14,2,5,rank(S) <= m = 2 < n = 5
557,14,305,0 -> X1,X1 -> 2X4,"(1, 0, 0, 0, 0)","(-1, 0, 0, 2, 0)",14->305;305->14,2,5,rank(S) <= m = 2 < n = 5
558,14,306,0 -> X1,X1 -> X3,"(1, 0, 0, 0, 0)","(-1, 0, 1, 0, 0)",14->306;306->14,2,5,rank(S) <= m = 2 < n = 5
559,14,307,0 -> X1,X1 -> X3+X5,"(1, 0, 0, 0, 0)","(-1, 0, 1, 0, 1)",14->307;307->14,2,5,rank(S) <= m = 2 < n = 5
560,14,308,0 -> X1,X1 -> X3+X4,"(1, 0, 0, 0, 0)","(-1, 0, 1, 1, 0)",14->308;308->14,2,5,rank(S) <= m = 2 < n = 5
561,14,309,0 -> X1,X1 -> 2X3,"(1, 0, 0, 0, 0)","(-1, 0, 2, 0, 0)",14->309;309->14,2,5,rank(S) <= m = 2 < n = 5
562,14,310,0 -> X1,X1 -> X2,"(1, 0, 0, 0, 0)","(-1, 1, 0, 0, 0)",14->310;310->14,2,5,rank(S) <= m = 2 < n = 5
563,14,311,0 -> X1,X1 -> X2+X5,"(1, 0, 0, 0, 0)","(-1, 1, 0, 0, 1)",14->311;311->14,2,5,rank(S) <= m = 2 < n = 5
564,14,312,0 -> X1,X1 -> X2+X4,"(1, 0, 0, 0, 0)","(-1, 1, 0, 1, 0)",14->312;312->14,2,5,rank(S) <= m = 2 < n = 5
565,14,313,0 -> X1,X1 -> X2+X3,"(1, 0, 0, 0, 0)","(-1, 1, 1, 0, 0)",14->313;313->14,2,5,rank(S) <= m = 2 < n = 5
566,14,314,0 -> X1,X1 -> 2X2,"(1, 0, 0, 0, 0)","(-1, 2, 0, 0, 0)",14->314;314->14,2,5,rank(S) <= m = 2 < n = 5
567,14,315,0 -> X1,X1 -> X1+X5,"(1, 0, 0, 0, 0)","(0, 0, 0, 0, 1)",14->315;315->14,2,5,rank(S) <= m = 2 < n = 5
568,14,316,0 -> X1,X1 -> X1+X4,"(1, 0, 0, 0, 0)","(0, 0, 0, 1, 0)",14->316;316->14,2,5,rank(S) <= m = 2 < n = 5
569,14,317,0 -> X1,X1 -> X1+X3,"(1, 0, 0, 0, 0)","(0, 0, 1, 0, 0)",14->317;317->14,2,5,rank(S) <= m = 2 < n = 5
570,14,318,0 -> X1,X1 -> X1+X2,"(1, 0, 0, 0, 0)","(0, 1, 0, 0, 0)",14->318;318->14,2,5,rank(S) <= m = 2 < n = 5
571,14,400,0 -> X1,2X1 -> 0,"(1, 0, 0, 0, 0)","(-2, 0, 0, 0, 0)",14->400;400->14,2,5,rank(S) <= m = 2 < n = 5
572,14,401,0 -> X1,2X1 -> X5,"(1, 0, 0, 0, 0)","(-2, 0, 0, 0, 1)",14->401;401->14,2,5,rank(S) <= m = 2 < n = 5
573,14,402,0 -> X1,2X1 -> 2X5,"(1, 0, 0, 0, 0)","(-2, 0, 0, 0, 2)",14->402;402->14,2,5,rank(S) <= m = 2 < n = 5
574,14,403,0 -> X1,2X1 -> X4,"(1, 0, 0, 0, 0)","(-2, 0, 0, 1, 0)",14->403;403->14,2,5,rank(S) <= m = 2 < n = 5
575,14,404,0 -> X1,2X1 -> X4+X5,"(1, 0, 0, 0, 0)","(-2, 0, 0, 1, 1)",14->404;404->14,2,5,rank(S) <= m = 2 < n = 5
576,14,405,0 -> X1,2X1 -> 2X4,"(1, 0, 0, 0, 0)","(-2, 0, 0, 2, 0)",14->405;405->14,2,5,rank(S) <= m = 2 < n = 5
577,14,406,0 -> X1,2X1 -> X3,"(1, 0, 0, 0, 0)","(-2, 0, 1, 0, 0)",14->406;406->14,2,5,rank(S) <= m = 2 < n = 5
578,14,407,0 -> X1,2X1 -> X3+X5,"(1, 0, 0, 0, 0)","(-2, 0, 1, 0, 1)",14->407;407->14,2,5,rank(S) <= m = 2 < n = 5
579,14,408,0 -> X1,2X1 -> X3+X4,"(1, 0, 0, 0, 0)","(-2, 0, 1, 1, 0)",14->408;408->14,2,5,rank(S) <= m = 2 < n = 5
580,14,409,0 -> X1,2X1 -> 2X3,"(1, 0, 0, 0, 0)","(-2, 0, 2, 0, 0)",14->409;409->14,2,5,rank(S) <= m = 2 < n = 5
581,14,410,0 -> X1,2X1 -> X2,"(1, 0, 0, 0, 0)","(-2, 1, 0, 0, 0)",14->410;410->14,2,5,rank(S) <= m = 2 < n = 5
582,14,411,0 -> X1,2X1 -> X2+X5,"(1, 0, 0, 0, 0)","(-2, 1, 0, 0, 1)",14->411;411->14,2,5,rank(S) <= m = 2 < n = 5
583,14,412,0 -> X1,2X1 -> X2+X4,"(1, 0, 0, 0, 0)","(-2, 1, 0, 1, 0)",14->412;412->14,2,5,rank(S) <= m = 2 < n = 5
584,14,413,0 -> X1,2X1 -> X2+X3,"(1, 0, 0, 0, 0)","(-2, 1, 1, 0, 0)",14->413;413->14,2,5,rank(S) <= m = 2 < n = 5
585,14,414,0 -> X1,2X1 -> 2X2,"(1, 0, 0, 0, 0)","(-2, 2, 0, 0, 0)",14->414;414->14,2,5,rank(S) <= m = 2 < n = 5
586,14,415,0 -> X1,2X1 -> X1,"(1, 0, 0, 0, 0)","(-1, 0, 0, 0, 0)",14->415;415->14,2,5,rank(S) <= m = 2 < n = 5
587,14,416,0 -> X1,2X1 -> X1+X5,"(1, 0, 0, 0, 0)","(-1, 0, 0, 0, 1)",14->416;416->14,2,5,rank(S) <= m = 2 < n = 5
588,14,417,0 -> X1,2X1 -> X1+X4,"(1, 0, 0, 0, 0)","(-1, 0, 0, 1, 0)",14->417;417->14,2,5,rank(S) <= m = 2 < n = 5
589,14,418,0 -> X1,2X1 -> X1+X3,"(1, 0, 0, 0, 0)","(-1, 0, 1, 0, 0)",14->418;418->14,2,5,rank(S) <= m = 2 < n = 5
590,14,419,0 -> X1,2X1 -> X1+X2,"(1, 0, 0, 0, 0)","(-1, 1, 0, 0, 0)",14->419;419->14,2,5,rank(S) <= m = 2 < n = 5
591,15,300,0 -> X1+X5,X1 -> 0,"(1, 0, 0, 0, 1)","(-1, 0, 0, 0, 0)",15->300;300->15,2,5,rank(S) <= m = 2 < n = 5
592,15,301,0 -> X1+X5,X1 -> X5,"(1, 0, 0, 0, 1)","(-1, 0, 0, 0, 1)",15->301;301->15,2,5,rank(S) <= m = 2 < n = 5
593,15,302,0 -> X1+X5,X1 -> 2X5,"(1, 0, 0, 0, 1)","(-1, 0, 0, 0, 2)",15->302;302->15,2,5,rank(S) <= m = 2 < n = 5
594,15,303,0 -> X1+X5,X1 -> X4,"(1, 0, 0, 0, 1)","(-1, 0, 0, 1, 0)",15->303;303->15,2,5,rank(S) <= m = 2 < n = 5
595,15,304,0 -> X1+X5,X1 -> X4+X5,"(1, 0, 0, 0, 1)","(-1, 0, 0, 1, 1)",15->304;304->15,2,5,rank(S) <= m = 2 < n = 5
596,15,305,0 -> X1+X5,X1 -> 2X4,"(1, 0, 0, 0, 1)","(-1, 0, 0, 2, 0)",15->305;305->15,2,5,rank(S) <= m = 2 < n = 5
597,15,306,0 -> X1+X5,X1 -> X3,"(1, 0, 0, 0, 1)","(-1, 0, 1, 0, 0)",15->306;306->15,2,5,rank(S) <= m = 2 < n = 5
598,15,307,0 -> X1+X5,X1 -> X3+X5,"(1, 0, 0, 0, 1)","(-1, 0, 1, 0, 1)",15->307;307->15,2,5,rank(S) <= m = 2 < n = 5
599,15,308,0 -> X1+X5,X1 -> X3+X4,"(1, 0, 0, 0, 1)","(-1, 0, 1, 1, 0)",15->308;308->15,2,5,rank(S) <= m = 2 < n = 5
600,15,309,0 -> X1+X5,X1 -> 2X3,"(1, 0, 0, 0, 1)","(-1, 0, 2, 0, 0)",15->309;309->15,2,5,rank(S) <= m = 2 < n = 5
601,15,310,0 -> X1+X5,X1 -> X2,"(1, 0, 0, 0, 1)","(-1, 1, 0, 0, 0)",15->310;310->15,2,5,rank(S) <= m = 2 < n = 5
602,15,311,0 -> X1+X5,X1 -> X2+X5,"(1, 0, 0, 0, 1)","(-1, 1, 0, 0, 1)",15->311;311->15,2,5,rank(S) <= m = 2 < n = 5
603,15,312,0 -> X1+X5,X1 -> X2+X4,"(1, 0, 0, 0, 1)","(-1, 1, 0, 1, 0)",15->312;312->15,2,5,rank(S) <= m = 2 < n = 5
604,15,313,0 -> X1+X5,X1 -> X2+X3,"(1, 0, 0, 0, 1)","(-1, 1, 1, 0, 0)",15->313;313->15,2,5,rank(S) <= m = 2 < n = 5
605,15,314,0 -> X1+X5,X1 -> 2X2,"(1, 0, 0, 0, 1)","(-1, 2, 0, 0, 0)",15->314;314->15,2,5,rank(S) <= m = 2 < n = 5
606,15,315,0 -> X1+X5,X1 -> X1+X5,"(1, 0, 0, 0, 1)","(0, 0, 0, 0, 1)",15->315;315->15,2,5,rank(S) <= m = 2 < n = 5
607,15,316,0 -> X1+X5,X1 -> X1+X4,"(1, 0, 0, 0, 1)","(0, 0, 0, 1, 0)",15->316;316->15,2,5,rank(S) <= m = 2 < n = 5
608,15,317,0 -> X1+X5,X1 -> X1+X3,"(1, 0, 0, 0, 1)","(0, 0, 1, 0, 0)",15->317;317->15,2,5,rank(S) <= m = 2 < n = 5
609,15,318,0 -> X1+X5,X1 -> X1+X2,"(1, 0, 0, 0, 1)","(0, 1, 0, 0, 0)",15->318;318->15,2,5,rank(S) <= m = 2 < n = 5
610,15,319,0 -> X1+X5,X1 -> 2X1,"(1, 0, 0, 0, 1)","(1, 0, 0, 0, 0)",15->319;319->15,2,5,rank(S) <= m = 2 < n = 5
611,15,400,0 -> X1+X5,2X1 -> 0,"(1, 0, 0, 0, 1)","(-2, 0, 0, 0, 0)",15->400;400->15,2,5,rank(S) <= m = 2 < n = 5
612,15,401,0 -> X1+X5,2X1 -> X5,"(1, 0, 0, 0, 1)","(-2, 0, 0, 0, 1)",15->401;401->15,2,5,rank(S) <= m = 2 < n = 5
613,15,402,0 -> X1+X5,2X1 -> 2X5,"(1, 0, 0, 0, 1)","(-2, 0, 0, 0, 2)",15->402;402->15,2,5,rank(S) <= m = 2 < n = 5
614,15,403,0 -> X1+X5,2X1 -> X4,"(1, 0, 0, 0, 1)","(-2, 0, 0, 1, 0)",15->403;403->15,2,5,rank(S) <= m = 2 < n = 5
615,15,404,0 -> X1+X5,2X1 -> X4+X5,"(1, 0, 0, 0, 1)","(-2, 0, 0, 1, 1)",15->404;404->15,2,5,rank(S) <= m = 2 < n = 5
616,15,405,0 -> X1+X5,2X1 -> 2X4,"(1, 0, 0, 0, 1)","(-2, 0, 0, 2, 0)",15->405;405->15,2,5,rank(S) <= m = 2 < n = 5
617,15,406,0 -> X1+X5,2X1 -> X3,"(1, 0, 0, 0, 1)","(-2, 0, 1, 0, 0)",15->406;406->15,2,5,rank(S) <= m = 2 < n = 5
618,15,407,0 -> X1+X5,2X1 -> X3+X5,"(1, 0, 0, 0, 1)","(-2, 0, 1, 0, 1)",15->407;407->15,2,5,rank(S) <= m = 2 < n = 5
619,15,408,0 -> X1+X5,2X1 -> X3+X4,"(1, 0, 0, 0, 1)","(-2, 0, 1, 1, 0)",15->408;408->15,2,5,rank(S) <= m = 2 < n = 5
620,15,409,0 -> X1+X5,2X1 -> 2X3,"(1, 0, 0, 0, 1)","(-2, 0, 2, 0, 0)",15->409;409->15,2,5,rank(S) <= m = 2 < n = 5
621,15,410,0 -> X1+X5,2X1 -> X2,"(1, 0, 0, 0, 1)","(-2, 1, 0, 0, 0)",15->410;410->15,2,5,rank(S) <= m = 2 < n = 5
622,15,411,0 -> X1+X5,2X1 -> X2+X5,"(1, 0, 0, 0, 1)","(-2, 1, 0, 0, 1)",15->411;411->15,2,5,rank(S) <= m = 2 < n = 5
623,15,412,0 -> X1+X5,2X1 -> X2+X4,"(1, 0, 0, 0, 1)","(-2, 1, 0, 1, 0)",15->412;412->15,2,5,rank(S) <= m = 2 < n = 5
624,15,413,0 -> X1+X5,2X1 -> X2+X3,"(1, 0, 0, 0, 1)","(-2, 1, 1, 0, 0)",15->413;413->15,2,5,rank(S) <= m = 2 < n = 5
625,15,414,0 -> X1+X5,2X1 -> 2X2,"(1, 0, 0, 0, 1)","(-2, 2, 0, 0, 0)",15->414;414->15,2,5,rank(S) <= m = 2 < n = 5
626,15,415,0 -> X1+X5,2X1 -> X1,"(1, 0, 0, 0, 1)","(-1, 0, 0, 0, 0)",15->415;415->15,2,5,rank(S) <= m = 2 < n = 5
627,15,416,0 -> X1+X5,2X1 -> X1+X5,"(1, 0, 0, 0, 1)","(-1, 0, 0, 0, 1)",15->416;416->15,2,5,rank(S) <= m = 2 < n = 5
628,15,417,0 -> X1+X5,2X1 -> X1+X4,"(1, 0, 0, 0, 1)","(-1, 0, 0, 1, 0)",15->417;417->15,2,5,rank(S) <= m = 2 < n = 5
629,15,418,0 -> X1+X5,2X1 -> X1+X3,"(1, 0, 0, 0, 1)","(-1, 0, 1, 0, 0)",15->418;418->15,2,5,rank(S) <= m = 2 < n = 5
630,15,419,0 -> X1+X5,2X1 -> X1+X2,"(1, 0, 0, 0, 1)","(-1, 1, 0, 0, 0)",15->419;419->15,2,5,rank(S) <= m = 2 < n = 5
631,16,300,0 -> X1+X4,X1 -> 0,"(1, 0, 0, 1, 0)","(-1, 0, 0, 0, 0)",16->300;300->16,2,5,rank(S) <= m = 2 < n = 5
632,16,301,0 -> X1+X4,X1 -> X5,"(1, 0, 0, 1, 0)","(-1, 0, 0, 0, 1)",16->301;301->16,2,5,rank(S) <= m = 2 < n = 5
633,16,302,0 -> X1+X4,X1 -> 2X5,"(1, 0, 0, 1, 0)","(-1, 0, 0, 0, 2)",16->302;302->16,2,5,rank(S) <= m = 2 < n = 5
634,16,303,0 -> X1+X4,X1 -> X4,"(1, 0, 0, 1, 0)","(-1, 0, 0, 1, 0)",16->303;303->16,2,5,rank(S) <= m = 2 < n = 5
635,16,304,0 -> X1+X4,X1 -> X4+X5,"(1, 0, 0, 1, 0)","(-1, 0, 0, 1, 1)",16->304;304->16,2,5,rank(S) <= m = 2 < n = 5
636,16,305,0 -> X1+X4,X1 -> 2X4,"(1, 0, 0, 1, 0)","(-1, 0, 0, 2, 0)",16->305;305->16,2,5,rank(S) <= m = 2 < n = 5
