crn_rank_excluded_index,reaction_i,reaction_j,reaction_i_text,reaction_j_text,zeta_i,zeta_j,passing_ordered_pairs,rank_S_upper_bound,required_rank,exclusion_reason
31,0,412,0 -> X5,2X1 -> X2+X4,"(0, 0, 0, 0, 1)","(-2, 1, 0, 1, 0)",0->412;412->0,2,5,rank(S) <= m = 2 < n = 5
32,0,413,0 -> X5,2X1 -> X2+X3,"(0, 0, 0, 0, 1)","(-2, 1, 1, 0, 0)",0->413;413->0,2,5,rank(S) <= m = 2 < n = 5
33,0,414,0 -> X5,2X1 -> 2X2,"(0, 0, 0, 0, 1)","(-2, 2, 0, 0, 0)",0->414;414->0,2,5,rank(S) <= m = 2 < n = 5
34,0,415,0 -> X5,2X1 -> X1,"(0, 0, 0, 0, 1)","(-1, 0, 0, 0, 0)",0->415;415->0,2,5,rank(S) <= m = 2 < n = 5
35,0,416,0 -> X5,2X1 -> X1+X5,"(0, 0, 0, 0, 1)","(-1, 0, 0, 0, 1)",0->416;416->0,2,5,rank(S) <= m = 2 < n = 5
36,0,417,0 -> X5,2X1 -> X1+X4,"(0, 0, 0, 0, 1)","(-1, 0, 0, 1, 0)",0->417;417->0,2,5,rank(S) <= m = 2 < n = 5
37,0,418,0 -> X5,2X1 -> X1+X3,"(0, 0, 0, 0, 1)","(-1, 0, 1, 0, 0)",0->418;418->0,2,5,rank(S) <= m = 2 < n = 5
38,0,419,0 -> X5,2X1 -> X1+X2,"(0, 0, 0, 0, 1)","(-1, 1, 0, 0, 0)",0->419;419->0,2,5,rank(S) <= m = 2 < n = 5
39,1,300,0 -> 2X5,X1 -> 0,"(0, 0, 0, 0, 2)","(-1, 0, 0, 0, 0)",1->300;300->1,2,5,rank(S) <= m = 2 < n = 5
40,1,301,0 -> 2X5,X1 -> X5,"(0, 0, 0, 0, 2)","(-1, 0, 0, 0, 1)",1->301;301->1,2,5,rank(S) <= m = 2 < n = 5
41,1,302,0 -> 2X5,X1 -> 2X5,"(0, 0, 0, 0, 2)","(-1, 0, 0, 0, 2)",1->302;302->1,2,5,rank(S) <= m = 2 < n = 5
42,1,303,0 -> 2X5,X1 -> X4,"(0, 0, 0, 0, 2)","(-1, 0, 0, 1, 0)",1->303;303->1,2,5,rank(S) <= m = 2 < n = 5
43,1,304,0 -> 2X5,X1 -> X4+X5,"(0, 0, 0, 0, 2)","(-1, 0, 0, 1, 1)",1->304;304->1,2,5,rank(S) <= m = 2 < n = 5
44,1,305,0 -> 2X5,X1 -> 2X4,"(0, 0, 0, 0, 2)","(-1, 0, 0, 2, 0)",1->305;305->1,2,5,rank(S) <= m = 2 < n = 5
45,1,306,0 -> 2X5,X1 -> X3,"(0, 0, 0, 0, 2)","(-1, 0, 1, 0, 0)",1->306;306->1,2,5,rank(S) <= m = 2 < n = 5
46,1,307,0 -> 2X5,X1 -> X3+X5,"(0, 0, 0, 0, 2)","(-1, 0, 1, 0, 1)",1->307;307->1,2,5,rank(S) <= m = 2 < n = 5
47,1,308,0 -> 2X5,X1 -> X3+X4,"(0, 0, 0, 0, 2)","(-1, 0, 1, 1, 0)",1->308;308->1,2,5,rank(S) <= m = 2 < n = 5
48,1,309,0 -> 2X5,X1 -> 2X3,"(0, 0, 0, 0, 2)","(-1, 0, 2, 0, 0)",1->309;309->1,2,5,rank(S) <= m = 2 < n = 5
49,1,310,0 -> 2X5,X1 -> X2,"(0, 0, 0, 0, 2)","(-1, 1, 0, 0, 0)",1->310;310->1,2,5,rank(S) <= m = 2 < n = 5
50,1,311,0 -> 2X5,X1 -> X2+X5,"(0, 0, 0, 0, 2)","(-1, 1, 0, 0, 1)",1->311;311->1,2,5,rank(S) <= m = 2 < n = 5
51,1,312,0 -> 2X5,X1 -> X2+X4,"(0, 0, 0, 0, 2)","(-1, 1, 0, 1, 0)",1->312;312->1,2,5,rank(S) <= m = 2 < n = 5
52,1,313,0 -> 2X5,X1 -> X2+X3,"(0, 0, 0, 0, 2)","(-1, 1, 1, 0, 0)",1->313;313->1,2,5,rank(S) <= m = 2 < n = 5
