method,run_id,seed,epoch,candidate_evaluations,batch_size,n_cpus,epoch_best_loss,epoch_median_loss,saved_best_loss,success,stop_reason,elapsed_seconds
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_bs200,seed335,335,1,200,200,16,122.79482011684186,131.12639977002505,122.79482011684186,False,max_epochs,6.581017971038818
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_bs200,seed335,335,2,400,200,16,123.20846820228283,130.66959672047727,122.79482011684186,False,max_epochs,12.10642385482788
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_bs200,seed335,335,3,600,200,16,123.44449649177707,130.12916419175653,122.79482011684186,False,max_epochs,20.241820573806763
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_bs200,seed335,335,4,800,200,16,123.8549256000421,131.0850888064526,122.79482011684186,False,max_epochs,28.487477779388428
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_bs200,seed335,335,5,1000,200,16,123.51286857036139,130.48353358116745,122.79482011684186,False,max_epochs,37.04492902755737
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_bs200,seed335,335,6,1200,200,16,123.52759530898571,129.68814281681853,122.79482011684186,False,max_epochs,45.43249225616455
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_bs200,seed335,335,7,1400,200,16,123.58113227167514,130.65879665005065,122.79482011684186,False,max_epochs,53.87191128730774
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_bs200,seed335,335,8,1600,200,16,123.70823369064853,129.8940606527739,122.79482011684186,False,max_epochs,62.11943531036377
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_bs200,seed335,335,9,1800,200,16,123.8066239406004,129.95457414796914,122.79482011684186,False,max_epochs,70.06786918640137
rl4crn_rne_oscillator_trace_8rxn_stop_risksched085to09_lr1e4_entropy005_s4_c1_rnetol_d256_depth3_p20_bs200,seed335,335,10,2000,200,16,122.5677880499645,130.43146616644577,122.5677880499645,False,max_epochs,77.91418981552124
